hour,model,const,b_onestep,d_sofar
10:00,a0,1.4029558373139297,0.8010188188481712,0.1633338589868114
10:00,blk2,1.1970513521189392,0.782159090430467,0.16610457400751505
10:30,a0,1.7536207527071945,0.7775254781750471,0.22313906677248868
10:30,blk2,1.6507564598061695,0.7748768457530648,0.21734897487167698
11:00,a0,1.5911664768776965,0.6382366401356901,0.37413151875721784
11:00,blk2,1.4960394578193428,0.6467453587224122,0.3558579720725969
11:30,a0,1.6525108363769692,0.6788149603463034,0.34219024753718325
11:30,blk2,1.543645401155669,0.697953714581014,0.3094979338455398
12:00,a0,1.5839176613700865,0.7017603667177857,0.3166908852545506
12:00,blk2,1.480166205293433,0.7068293239415051,0.29998830748621563
12:30,a0,1.300594118273376,0.6457802837745344,0.36798029773131585
12:30,blk2,1.2790227374835865,0.6793639361260008,0.3231181745529558
13:00,a0,1.2228432856383853,0.6396974400978785,0.3898437839661253
13:00,blk2,1.124476510791993,0.6295088490304718,0.3911763861553659
13:30,a0,1.0481060610403012,0.7272713683557803,0.2853104942355257
13:30,blk2,0.9377718924985965,0.7046722145338602,0.300122998257239
14:00,a0,0.41199859541953193,0.5471875734276336,0.49490078629323386
14:00,blk2,0.40020748425625796,0.5752182770197665,0.4571905913742692
14:30,a0,0.2974888216743792,0.6223673324847903,0.4298787551102083
14:30,blk2,0.2781255043562428,0.6536683773110282,0.3870223235051908
15:00,a0,-0.2449843866167045,0.7161283834582741,0.3335866499773933
15:00,blk2,-0.3457463859205453,0.7080161402890698,0.3315051603791118
