era,forecast,n_days,qlike,dm_vs_naive,dm_pooled_vs_perhour,dm_blk2_vs_a0
all,M0,5587,0.8408987122706185,,,
all,a0_M1,5587,0.18365260745449125,-19.479734055891715,,
all,a0_M2,5587,0.18142641365647472,-19.412193591255704,,
all,a0_M2pooled,5587,0.1813779594529537,-19.425750663889662,-0.2518973675824754,
all,a0_M3,5586,0.17610239649742018,-19.615458392002356,,
all,blk2_M1,5587,0.17396088183283778,-19.885364412182966,,-4.168613007984563
all,blk2_M2,5587,0.17190087119613506,-19.804950272851272,,-5.402806180980939
all,blk2_M2pooled,5587,0.1719434165247448,-19.81343373605237,0.2533753256369097,-5.315028137728518
all,blk2_M3,5586,0.16741451453999337,-19.957299473015457,,-5.861001190221147
post2016,M0,2089,0.90437365128853,,,
post2016,a0_M1,2089,0.2537081933838508,-12.985639170594533,,
post2016,a0_M2,2089,0.2511226333805463,-12.848394607729297,,
post2016,a0_M2pooled,2089,0.25058614039012145,-12.876015006168458,-1.5645338807806046,
post2016,a0_M3,2089,0.24039661579044644,-13.169916293592468,,
post2016,blk2_M1,2089,0.23567329746691765,-13.646279067432753,,-3.219677792317632
post2016,blk2_M2,2089,0.2346052637016821,-13.439505963628584,,-3.8779130779160584
post2016,blk2_M2pooled,2089,0.234101267827381,-13.464176775828285,-1.572749338844057,-3.858051478204256
post2016,blk2_M3,2089,0.2263786274805751,-13.654790477345523,,-3.982773367024717
