era,forecast,n_days,qlike,dm_vs_naive,dm_pooled_vs_perhour,dm_blk2_vs_a0
all,M0,5582,0.8626256764692506,,,
all,a0_M1,5582,0.15998552039217967,-18.123572351634408,,
all,a0_M2,5582,0.15632593746517845,-18.132263665323254,,
all,a0_M2pooled,5582,0.1564989153720998,-18.134928186522348,1.0272496493846797,
all,a0_M3,5581,0.15071065953172869,-18.29555085245215,,
all,blk2_M1,5582,0.14353941151090638,-18.64133362135157,,-5.226837982307638
all,blk2_M2,5582,0.14072495284419867,-18.628853221677076,,-6.679278821839406
all,blk2_M2pooled,5582,0.14099541603916524,-18.626587363377098,1.936105625901347,-6.711536986911052
all,blk2_M3,5581,0.13666065667883753,-18.73129681486511,,-7.192129146021631
post2016,M0,2089,0.8993043214790802,,,
post2016,a0_M1,2089,0.21368701039797675,-11.994553625139352,,
post2016,a0_M2,2089,0.21055331812940137,-11.934450298441758,,
post2016,a0_M2pooled,2089,0.2098931091265332,-11.95721566511247,-2.050967940257645,
post2016,a0_M3,2089,0.19968475847001027,-12.181689008979813,,
post2016,blk2_M1,2089,0.18766143685206232,-12.66591572585773,,-3.2448393317184547
post2016,blk2_M2,2089,0.18582798507121978,-12.573672366386477,,-4.174216028993096
post2016,blk2_M2pooled,2089,0.18558262741698842,-12.584295887807574,-0.9215315085994683,-4.147645509994951
post2016,blk2_M3,2089,0.17842367289948527,-12.714877005912651,,-4.342036700947566
