era,hour,forecast,n_days,qlike,dm_vs_naive,dm_pooled_vs_perhour,dm_blk2_vs_a0
all,10:00,M0,5582,0.722667580297811,,,
all,10:00,a0_M1,5582,0.1329722843741946,-18.271670464004195,,
all,10:00,a0_M2,5582,0.13190148080753947,-18.24290416519362,,
all,10:00,a0_M2pooled,5582,0.1335922096258187,-18.07552975435848,2.1445845813027185,
all,10:00,a0_M3,5581,0.1176187151361877,-18.687987023176206,,
all,10:00,blk2_M1,5582,0.1268336621812502,-18.464093537339032,,-3.0717091923755073
all,10:00,blk2_M2,5582,0.12490373568301419,-18.474303331991454,,-4.411229103155327
all,10:00,blk2_M2pooled,5582,0.12673488805804428,-18.314709100925235,2.2984659533135194,-4.758411154748683
all,10:00,blk2_M3,5581,0.11280166791442074,-18.83919571704319,,-5.6389625696696974
all,10:30,M0,5582,0.7505433536884989,,,
all,10:30,a0_M1,5582,0.1376322151792356,-18.49556383919375,,
all,10:30,a0_M2,5582,0.13667921011597894,-18.50228503013842,,
all,10:30,a0_M2pooled,5582,0.1370910709090097,-18.416903767883596,0.7255775431568066,
all,10:30,a0_M3,5581,0.127049779751968,-18.8223353557799,,
all,10:30,blk2_M1,5582,0.12881015533126594,-18.826391560264106,,-3.6650957066029943
all,10:30,blk2_M2,5582,0.12784279609812915,-18.8208136757683,,-4.510108926953192
all,10:30,blk2_M2pooled,5582,0.12845611902868073,-18.7351305643797,1.2450522006512434,-4.91908876163961
all,10:30,blk2_M3,5581,0.12018720909032718,-19.049578638189423,,-5.3598316493113325
all,11:00,M0,5582,0.7780233727361934,,,
all,11:00,a0_M1,5582,0.14656540017794834,-18.4557073839327,,
all,11:00,a0_M2,5582,0.1442762078780777,-18.49734229809151,,
all,11:00,a0_M2pooled,5582,0.1439554286639828,-18.51081195211661,-1.2206434027846955,
all,11:00,a0_M3,5581,0.13629233172914657,-18.795192690020915,,
all,11:00,blk2_M1,5582,0.136119216192651,-18.859607536818675,,-3.884213028898027
all,11:00,blk2_M2,5582,0.13408818886504215,-18.877160728848526,,-5.109454384720967
all,11:00,blk2_M2pooled,5582,0.13378578106359237,-18.88528963687593,-1.458643849715176,-5.184168406985635
all,11:00,blk2_M3,5581,0.12799188715627685,-19.08346192388205,,-5.709333688183898
all,11:30,M0,5582,0.8031293258340947,,,
all,11:30,a0_M1,5582,0.15430153645563183,-18.330999132971403,,
all,11:30,a0_M2,5582,0.15293888994818886,-18.30579616108198,,
all,11:30,a0_M2pooled,5582,0.15211801282592832,-18.321520318630192,-3.398957842316898,
all,11:30,a0_M3,5581,0.14610393288165655,-18.568283401880855,,
all,11:30,blk2_M1,5582,0.13863856271031222,-18.923336398747235,,-4.6387879123403994
all,11:30,blk2_M2,5582,0.13869307307038356,-18.854539288529025,,-5.211767381400847
all,11:30,blk2_M2pooled,5582,0.1387028016618141,-18.830666526947102,0.033977722171197024,-5.364315336790508
all,11:30,blk2_M3,5581,0.13402006543321904,-19.011301836887007,,-5.614042313077112
all,12:00,M0,5582,0.8262586977833236,,,
all,12:00,a0_M1,5582,0.16965075657265283,-18.06467310173256,,
all,12:00,a0_M2,5582,0.16773939542600305,-18.01909678363269,,
all,12:00,a0_M2pooled,5582,0.16665755071110008,-18.048780305718765,-5.413343672966961,
all,12:00,a0_M3,5581,0.16081796828566505,-18.27790771122877,,
all,12:00,blk2_M1,5582,0.15048219861108852,-18.80055686382048,,-5.183866159602976
all,12:00,blk2_M2,5582,0.1503933162766716,-18.68274134643337,,-5.923699895655608
all,12:00,blk2_M2pooled,5582,0.14997295206938893,-18.68047604376653,-2.1017169626506176,-5.985349114991552
all,12:00,blk2_M3,5581,0.1456436340693417,-18.839753920550937,,-6.186447365084282
all,12:30,M0,5582,0.8489927235197172,,,
all,12:30,a0_M1,5582,0.18045844592736468,-17.83776804817409,,
all,12:30,a0_M2,5582,0.17805192725553065,-17.786419896999142,,
all,12:30,a0_M2pooled,5582,0.17702937467995236,-17.78670225120561,-4.718252223570173,
all,12:30,a0_M3,5581,0.1715104120119758,-18.044349126593083,,
all,12:30,blk2_M1,5582,0.15401654601047493,-18.825242383156127,,-5.100380758620432
all,12:30,blk2_M2,5582,0.15457634043082633,-18.699801877112193,,-5.6422280104166935
all,12:30,blk2_M2pooled,5582,0.15427657167763623,-18.673865467117103,-1.2775829257080655,-5.756790248665232
all,12:30,blk2_M3,5581,0.1507642875240873,-18.822117726608642,,-5.870752027022326
all,13:00,M0,5582,0.8685857841556366,,,
all,13:00,a0_M1,5582,0.19132978722723418,-17.678307020417236,,
all,13:00,a0_M2,5582,0.18897038410375486,-17.61685267547005,,
all,13:00,a0_M2pooled,5582,0.1873115290365411,-17.694056199606617,-3.841003899100982,
all,13:00,a0_M3,5581,0.18312687477716677,-17.85287253326695,,
all,13:00,blk2_M1,5582,0.16641170202497854,-18.699948981148072,,-4.452226791637961
all,13:00,blk2_M2,5582,0.16643083280936002,-18.54878179415556,,-5.32355912018764
all,13:00,blk2_M2pooled,5582,0.1645749608389756,-18.62633035587335,-4.532802095137122,-5.3122624084269985
all,13:00,blk2_M3,5581,0.1626804340551927,-18.661241915577847,,-5.594865360378766
all,13:30,M0,5582,0.8925342076011535,,,
all,13:30,a0_M1,5582,0.20248945347060954,-17.409172838321545,,
all,13:30,a0_M2,5582,0.20106878832567432,-17.374702558430187,,
all,13:30,a0_M2pooled,5582,0.20092780389065124,-17.345187351466528,-0.5236102453173297,
all,13:30,a0_M3,5581,0.19700751799636707,-17.534293746385064,,
all,13:30,blk2_M1,5582,0.17018080595997245,-18.57869750396214,,-3.5697160220745934
all,13:30,blk2_M2,5582,0.1703513319185458,-18.54797726088215,,-5.35306757744368
all,13:30,blk2_M2pooled,5582,0.17011857399379782,-18.525830797142866,-0.8669501409780642,-5.476118371264123
all,13:30,blk2_M3,5581,0.167969934766265,-18.61666711693979,,-5.673994788731751
all,14:00,M0,5582,0.9172524924891983,,,
all,14:00,a0_M1,5582,0.2333662192882796,-16.906385795600055,,
all,14:00,a0_M2,5582,0.22579818380394762,-16.83661888791535,,
all,14:00,a0_M2pooled,5582,0.22448539356425887,-16.964841577654845,-0.8279237815653294,
all,14:00,a0_M3,5581,0.22020192801585706,-17.007433634775428,,
all,14:00,blk2_M1,5582,0.19640916665852415,-17.969537588579158,,-5.045940068406982
all,14:00,blk2_M2,5582,0.19379471879361035,-17.886430484342004,,-7.380270085727093
all,14:00,blk2_M2pooled,5582,0.1908567853874943,-18.041319445370636,-2.3497259724094572,-6.9378893892888405
all,14:00,blk2_M3,5581,0.19061758822957467,-17.964041658016136,,-7.636491388252695
all,14:30,M0,5582,0.9440053317377372,,,
all,14:30,a0_M1,5582,0.13198565567995751,-18.940772298818676,,
all,14:30,a0_M2,5582,0.12333222365412994,-19.082486527784223,,
all,14:30,a0_M2pooled,5582,0.12547091160331433,-19.107043807183555,2.974966684633531,
all,14:30,a0_M3,5581,0.12357324777544376,-19.08110617065385,,
all,14:30,blk2_M1,5582,0.1221749032040828,-19.170081306374513,,-4.091204265245174
all,14:30,blk2_M2,5582,0.11221222840668786,-19.333702968957294,,-7.23091771593009
all,14:30,blk2_M2pooled,5582,0.11464034111279518,-19.353254369823418,3.390689965324056,-6.199667542929417
all,14:30,blk2_M3,5581,0.11224191852900198,-19.340290022991216,,-7.603563429244001
all,15:00,M0,5582,0.9712256784163449,,,
all,15:00,a0_M1,5582,0.1150610199125623,-17.176173116193592,,
