cell,a0,blk2,blk2_inc,lgbm,xgb,lasso_t,lasso_f,enet
flat125|p0|FLAT,2.8945007437216073,2.3294639021411787,1.8652243626102363,4.02754523674768,3.8414064357600686,2.6453113913926805,2.245667030944671,2.8480870801167195
flat125|p0|PER-ROW,2.8945007437216073,2.3294639021411787,1.8652243626102363,4.02754523674768,3.8414064357600686,2.6453113913926805,2.245667030944671,2.8480870801167195
flat125|p1|FLAT,0.3401702856306562,0.5795559743295394,0.033355338295691386,2.2758947477437386,2.1522243744786644,0.7127848957408658,0.5108054008965841,1.234752634060034
flat125|p1|PER-ROW,-1.9656734097078337,-0.8999234311048794,-0.9056580942680327,-0.8966163035939532,-0.7199227512476727,-0.5770709592367387,-0.681573510131919,-0.3845345529613152
flat125|p2|FLAT,-1.0335003305912271,0.7308104201499422,0.07978443295905473,0.2742354778541597,0.4649797763462735,0.25794559589313193,0.7969366568557353,0.7065132487948189
flat125|p2|PER-ROW,-1.3294125056607573,-0.2625895811033498,-0.27524595311857897,-0.3390552934822576,-0.2556591455678968,-0.005794533473322531,-0.038642816225847525,-0.04232160338827538
flat250|p0|FLAT,4.385760760499338,3.292930689216006,3.176679603182535,4.794830652981524,4.596800364127911,3.7403686260142566,3.0663370340939307,3.7257973101458792
flat250|p0|PER-ROW,4.385760760499338,3.292930689216006,3.176679603182535,4.794830652981524,4.596800364127911,3.7403686260142566,3.0663370340939307,3.7257973101458792
flat250|p1|FLAT,2.8649649480761137,1.044120776923542,1.0959125189612131,3.3678272596619916,3.1334683440647466,1.8157059349035487,0.8063364100123137,1.8628334302130125
flat250|p1|PER-ROW,-0.12404104167269785,-1.1271811848869933,-0.796471962379017,-1.131954694255343,-1.064531023926901,-0.454007894745074,-0.9936063534467706,-0.6626243214014734
flat250|p2|FLAT,,,,,,,,
flat250|p2|PER-ROW,-0.09030365070604376,-0.3631925653211755,-0.22775501417753205,-0.6210007409755048,-0.485718321921018,-0.15831975017381314,-0.17798687549796668,-0.3607799020194507
flat500|p0|FLAT,4.506734551446417,3.1344388111761683,2.718371655913613,4.321988496582135,4.007755953352708,2.458882256959658,3.0507965911662698,2.6095893139479647
flat500|p0|PER-ROW,4.506734551446417,3.1344388111761683,2.718371655913613,4.321988496582135,4.007755953352708,2.458882256959658,3.0507965911662698,2.6095893139479647
flat500|p1|FLAT,3.211433825167345,0.7331615114382577,0.5718993861730909,2.2376919807166695,1.8426075511180529,0.3058300771290474,0.6935582389869489,0.44479377922991786
flat500|p1|PER-ROW,2.293692385001185,-0.24171222611289062,-0.10181046754106983,-0.028465751650896046,-0.06327174515117723,-0.4431054816945733,-0.11607288457053787,-0.5204165086338944
