cell,agree_with_current
flat125|p0|FLAT,0.9445727482678984
flat125|p0|PER-ROW,0.9445727482678984
flat125|p1|FLAT,0.9780600461893765
flat125|p1|PER-ROW,0.9515011547344111
flat125|p2|FLAT,0.9757505773672055
flat125|p2|PER-ROW,0.9491916859122402
flat250|p0|FLAT,0.9399538106235565
flat250|p0|PER-ROW,0.9399538106235565
flat250|p1|FLAT,0.9688221709006929
flat250|p1|PER-ROW,0.9607390300230947
flat250|p2|FLAT,1.0
flat250|p2|PER-ROW,0.9468822170900693
flat500|p0|FLAT,0.9284064665127021
flat500|p0|PER-ROW,0.9284064665127021
flat500|p1|FLAT,0.9595842956120092
flat500|p1|PER-ROW,0.9491916859122402
flat500|p2|FLAT,0.9699769053117783
flat500|p2|PER-ROW,0.9353348729792148
ewma125|p0|FLAT,0.9376443418013857
ewma125|p0|PER-ROW,0.9376443418013857
ewma125|p1|FLAT,0.9734411085450346
ewma125|p1|PER-ROW,0.9549653579676675
ewma125|p2|FLAT,0.9872979214780601
ewma125|p2|PER-ROW,0.9399538106235565
ewma250|p0|FLAT,0.9284064665127021
ewma250|p0|PER-ROW,0.9284064665127021
ewma250|p1|FLAT,0.9595842956120092
ewma250|p1|PER-ROW,0.9491916859122402
ewma250|p2|FLAT,0.9722863741339491
ewma250|p2|PER-ROW,0.9341801385681293
ewma500|p0|FLAT,0.9353348729792148
ewma500|p0|PER-ROW,0.9353348729792148
ewma500|p1|FLAT,0.9595842956120092
ewma500|p1|PER-ROW,0.9468822170900693
ewma500|p2|FLAT,0.9665127020785219
ewma500|p2|PER-ROW,0.9330254041570438
