dimension,level,n_cells,sharpe_min,sharpe_mean,sharpe_max,qlike_traded_min,qlike_traded_mean,qlike_traded_max,qlike_all_min,qlike_all_mean,qlike_all_max
window,flat125,6,1.0631338586809915,1.3037810549910975,1.631814337803423,0.1090162438798391,0.11136112065597287,0.11396731546739367,0.18756030046319785,0.18885612489782036,0.19036428968255448
window,flat250,6,1.1214197993668382,1.279410782224983,1.364994853383444,0.1089915954227628,0.11180937249089534,0.11509653333144212,0.18751746383807585,0.1891829850426818,0.19148796982036953
window,flat500,6,1.11798962713689,1.1988544559115348,1.289524442906543,0.10755066630974183,0.11011720826130611,0.1132957853061796,0.18795301755907365,0.18937721187888804,0.19155491370996064
window,ewma125,6,1.1718826714077442,1.2753840106814012,1.570172618866595,0.10828344755452933,0.11085268694705196,0.11394023941880645,0.18737073892686898,0.18883228411640615,0.1908665463720129
window,ewma250,6,1.021819667901645,1.188801830852981,1.513158283571518,0.10810783143148406,0.11064789601496107,0.11387835651021375,0.18746287928430275,0.18886045929305229,0.19087315261539073
window,ewma500,6,0.846692177577706,1.1814347480326435,1.4372487274645762,0.10790916146374258,0.11022277211912397,0.11323448536687845,0.18747862174923915,0.18859091777050085,0.19013598774241477
weight exponent p,0,12,1.021819667901645,1.1408907846528622,1.364994853383444,0.11323448536687845,0.11390211923348569,0.11509653333144212,0.19013598774241477,0.19088047665711716,0.19155491370996064
weight exponent p,1,12,0.846692177577706,1.213292439052048,1.3619701128981763,0.10847620255430543,0.10989992349258572,0.11161306301623213,0.18737073892686898,0.18795408121656013,0.1886455848924783
weight exponent p,2,12,1.1236560678365597,1.3596502176424103,1.631814337803423,0.10755066630974183,0.10870348551858426,0.1100881241642992,0.1877107707555323,0.18801543362599746,0.1884728151345407
variance term,FLAT,18,1.021819667901645,1.2838250079807045,1.631814337803423,0.10825304323836998,0.11119606728619022,0.11509653333144212,0.1877452895938285,0.18909842795419143,0.19155491370996064
variance term,PER-ROW,18,0.846692177577706,1.192063952917509,1.433163570805061,0.10755066630974183,0.11047428487691355,0.11509653333144212,0.18737073892686898,0.18880156637892512,0.19155491370996064
