stat,value
obs_sharpe_current,1.3383216004229939
boot_se_current,0.5476409361812445
boot_lo95_current,0.27453074034533154
boot_hi95_current,2.42156645529093
obs_max,1.631814337803423
obs_mean,1.237944480449107
obs_premium,0.393869857354316
boot_max_mean,1.6961863606609735
boot_max_sd,0.506936972799467
boot_max_q05,0.8516561351776448
boot_max_q25,1.3633514834947449
boot_max_q50,1.6755773995867969
boot_max_q75,2.044342763767597
boot_max_q95,2.5319978823308458
frac_draws_max_le_obs_max,0.4685
boot_premium_mean,0.469876762736137
boot_premium_sd,0.11574193686624241
boot_premium_q95,0.6751000122283374
