name,n,R2,b,t,lag
all bars: R ~ s,10374,5.8166217613231375e-05,-308.0382002333253,-1.0778320268172015,32
all bars: R ~ G (points),10374,0.000534625435688052,0.009950630610679474,1.5877039234888644,32
all bars: R ~ G/entry,10374,0.0034688442084597204,0.2835889424295241,2.8070402518674378,32
15:30 only: R ~ s,861,0.002425386471011093,-5710.803002231694,-2.8981894698640507,14
15:30 only: R ~ G (points),861,0.00026671219595553186,0.01063807432054459,0.4715891056596357,14
15:30 only: R ~ G/entry,861,0.004617628389184336,0.3580058307374489,2.077334965813452,14
10:00-15:00: R ~ s,9513,0.00010379980058727867,220.63349899279572,1.174029286726684,31
10:00-15:00: R ~ G (points),9513,0.0012491959358232885,0.009579298362898385,3.221279846792677,31
10:00-15:00: R ~ G/entry,9513,0.001649704669047014,0.16454438922264303,2.9338609328175465,31
