clock,n,mean (IV_rem next - (1-w) V_M) / V_M,median,mean |revision| / V_M
10:00,864,-0.008779025082875737,-0.02829194293776518,0.09464903157135339
10:30,865,-0.01393100514097041,-0.03491360794182528,0.09048004925008461
11:00,864,-0.012829278148289236,-0.028043911792266674,0.08489037666094792
11:30,864,-0.02428008758785634,-0.03501566078749192,0.08479761033937273
12:00,866,-0.012134848372824893,-0.02452944251815035,0.08078124326109427
12:30,866,-0.011532796908322861,-0.0232428494596636,0.07884866485963578
13:00,866,-0.0033750559363328464,-0.023575189643505166,0.09297338342975649
13:30,864,0.007505461965913451,-0.012950324357521973,0.09523448821815471
14:00,864,0.02847225073017002,0.010007684753650764,0.10158139700951087
14:30,862,0.03974951634817711,0.024779394875853955,0.10921746372075222
15:00,861,0.061661624916159945,0.04264664179096096,0.110234494850855
