date,perturbed clock,A w moved on cut day,A w moved after cut day,B G moved on other clocks that day,B G moved on the cut bar,C G moved on the cut bar,D lagged median moved on the cut bar,D lagged median moved after the cut bar
2022-11-07,13:30,0,4037,0,1,0,0,0
2021-05-07,11:30,0,7190,0,1,0,0,7852
2021-07-12,13:30,0,6882,0,1,0,0,7512
2022-11-03,10:30,0,4059,0,1,0,0,0
2023-01-23,13:30,0,3487,0,1,0,0,0
2023-11-06,10:00,0,1309,0,1,0,0,0
2021-09-07,15:00,0,6607,0,1,0,0,7209
2021-09-13,13:00,0,6574,0,1,0,0,7177
2022-06-27,10:00,0,5060,0,1,0,0,5531
2023-04-21,11:00,0,2805,0,1,0,0,3069
