hhmm,n,median,p5,p95
10:00,864,0.9999994147750102,0.9994931405731574,1.0003997193951784
10:30,865,1.0000005447246203,0.9995748421555553,1.0004089716686897
11:00,865,1.0000001240218896,0.9995831006305793,1.0004158750126588
11:30,864,1.0000017231475842,0.9994889836678351,1.0005419506730018
12:00,866,0.9999996437345104,0.9994271919107186,1.0005641826518732
12:30,866,0.9999995521353653,0.9994226144095517,1.0006478305228923
13:00,866,1.000001056603697,0.9991837010775043,1.0007300755154493
13:30,866,0.9999998090792209,0.9991004491272094,1.0009701411272944
14:00,864,1.0000018197216978,0.9987866725845931,1.0013508471657793
14:30,865,1.0000075345737836,0.9987168129036068,1.002426509141969
15:00,862,1.0000075550820626,0.9981536791769069,1.00311362820754
15:30,861,1.000018214640489,0.9971669655519267,1.0062898924273616
