clock,n,median G/s,mean G/s,median dC/dV,median 1/s,median G,median |s|
10:00,864,237305.55641824426,258899.54319612612,238304.38373165758,146.85812816624835,0.0425329732205455,1.2132969870322492e-06
10:30,865,253466.52631198688,280038.0242792001,253674.4776485115,156.05795496956208,0.06366233728681436,8.412368377370142e-07
11:00,865,269446.32102054945,299836.8945687265,268516.64654463145,164.9710726339156,0.12740472819132265,8.128404441775445e-07
11:30,864,286494.8064075534,319333.6470051336,286561.88445818156,174.84925954278395,0.07955587887363436,6.175204290831332e-07
12:00,866,304737.76974960964,340570.4132114585,306044.35122000484,188.37381621911675,0.08580899653509277,5.190404006293435e-07
12:30,866,321358.6817284217,361908.6736471409,321255.61414656683,200.39139796235787,0.051760307717700016,5.098065891844435e-07
13:00,866,342879.2437995353,382343.9549067487,344368.76640043955,217.37952806008582,0.09338294900067012,6.997139425629069e-07
13:30,866,363500.8238781048,412183.6605549827,366507.59192354034,231.720219944807,-0.05480710908034325,5.340245626845714e-07
14:00,864,395087.1022481655,443358.6687630904,395362.1996703439,250.8549615695719,0.04486275471811041,8.717664198364353e-07
14:30,865,441173.4074930358,495423.67129351455,439091.4023292166,275.759011818507,-0.16730581868910122,9.077243924850335e-07
15:00,862,522175.9924354373,583711.1357902095,506009.09449544444,321.1801044907389,-0.5156231730589411,1.054684205847742e-06
15:30,861,681233.0348274575,726976.0220778432,657044.1445760364,421.32674618730914,-0.28431533054481406,1.0611177466185031e-06
