structure,w_frac,basis,sample,n,mean_diff_pts,t_hac,t_lag,ci_lo_mean_pts,ci_hi_mean_pts,Sharpe_winged,Sharpe_naked,d_Sharpe,ci_lo_dSharpe,ci_hi_dSharpe
0.5% of spot,0.005,crossed,deck in-sample,866,-0.1988682168262729,-0.5978480101563696,14,-0.8000725113041485,0.48784286308308683,1.0309438259348531,1.6789925284092098,-0.6480487024743566,-1.9426962536148047,0.49511701884241077
0.5% of spot,0.005,crossed,unseen,413,-1.146756757339395,-2.205140462895943,11,-2.146533229927246,-0.07989855929397424,0.040242285065380703,2.059740526448436,-2.0194982413830553,-3.422392828354491,-0.5816839123769717
0.5% of spot,0.005,crossed,all,1279,-0.5049495047323866,-1.7783927381292406,16,-1.0381225760958424,0.014431110336106638,0.6823180234635671,1.8109646287307026,-1.1286466052671356,-2.072312476602624,-0.23547782760117567
0.5% of spot,0.005,mid,deck in-sample,866,-0.07115459186401364,-0.21486892161495308,14,-0.6671858306924703,0.6124236873099905,1.2544364328005522,1.6789925284092098,-0.4245560956086576,-1.7071358138106267,0.7074875604201303
0.5% of spot,0.005,mid,unseen,413,-1.0678221390472125,-2.0668375569265565,11,-2.049069854935753,-0.009568662180613969,0.16010049084412792,2.059740526448436,-1.8996400356043082,-3.2661277710072674,-0.4928615442411476
0.5% of spot,0.005,mid,all,1279,-0.3929870367323961,-1.3902430720340078,16,-0.9133936400897728,0.12020228101600303,0.8682445488705951,1.8109646287307026,-0.9427200798601075,-1.8794135390889888,-0.07204474980240148
1.0% of spot,0.01,crossed,deck in-sample,866,-0.2715018586993355,-1.3255808907563977,14,-0.6566347553126952,0.1421889068300706,1.0521154692780343,1.6789925284092098,-0.6268770591311754,-1.5062945974255233,0.1561161854837737
1.0% of spot,0.01,crossed,unseen,413,-0.6915746113289932,-1.6175297274155698,11,-1.6338586731254603,0.21142811661960445,0.7871459889202364,2.059740526448436,-1.2725945375281997,-2.4219501732758357,0.003866439379751166
1.0% of spot,0.01,crossed,all,1279,-0.40714693050234463,-2.0358112060045723,16,-0.8177455987396087,-0.036453581713737214,0.9505277579327479,1.8109646287307026,-0.8604368707979547,-1.5561320866691275,-0.2190903820702313
1.0% of spot,0.01,mid,deck in-sample,866,-0.1725122495177987,-0.8438175277925266,14,-0.5557609315677149,0.23684426106917936,1.2549290580902916,1.6789925284092098,-0.4240634703189181,-1.313101862661268,0.3454539733182381
1.0% of spot,0.01,mid,unseen,413,-0.625836111560067,-1.4761382107369971,11,-1.5535885638145832,0.2749919796636495,0.8945041086621344,2.059740526448436,-1.1652364177863017,-2.3069629353409034,0.09265316081348995
1.0% of spot,0.01,mid,all,1279,-0.31889438792550534,-1.603575289163845,16,-0.7286114394857364,0.05595270485043387,1.1169079638658952,1.8109646287307026,-0.6940566648648074,-1.3803486484608054,-0.04286750594216739
1.5% of spot,0.015,crossed,deck in-sample,866,-0.2172512725150475,-1.7556263284075428,14,-0.4355521178299961,0.014992934249031614,1.2253603900725611,1.6789925284092098,-0.4536321383366486,-1.028206774760387,0.013779933116118716
1.5% of spot,0.015,crossed,unseen,413,-0.3425667804753809,-1.2718664219655846,11,-0.8900255606872803,0.27972041146725984,1.495946823653151,2.059740526448436,-0.5637937027952851,-1.2794765180546903,0.40937331368483454
1.5% of spot,0.015,crossed,all,1279,-0.2577167180096665,-2.118760702430561,16,-0.4914610747314197,-0.025529342191184773,1.3189768466827052,1.8109646287307026,-0.4919877820479974,-0.9192751837004707,-0.0761242306234202
1.5% of spot,0.015,mid,deck in-sample,866,-0.1319452678229806,-1.0552252805009579,14,-0.3518637837665199,0.10319579334076762,1.411720477694703,1.6789925284092098,-0.26727205071450677,-0.850586389628608,0.2054704231970406
1.5% of spot,0.015,mid,unseen,413,-0.28203409269325813,-1.0570679248531274,11,-0.8171659628514507,0.33503095515390274,1.6046799177796707,2.059740526448436,-0.4550606086687654,-1.1625646355629757,0.5051016343784007
1.5% of spot,0.015,mid,all,1279,-0.18041022847303895,-1.484986366820264,16,-0.41703324882146864,0.05311357519750267,1.4770973749324328,1.8109646287307026,-0.33386725379826987,-0.777421674839517,0.10143510567762444
2.0% of spot,0.02,crossed,deck in-sample,866,-0.20541530110234477,-2.572007739243154,14,-0.34257392752829585,-0.05875982906095101,1.2828433596552642,1.6789925284092098,-0.39614916875394557,-0.7901017299125958,-0.0663750845060258
2.0% of spot,0.02,crossed,unseen,413,-0.20583597412806445,-1.1844210983338028,11,-0.5534026656459936,0.19394256692451836,1.8225833115616743,2.059740526448436,-0.23715721488676178,-0.7079009683406511,0.514906762374458
2.0% of spot,0.02,crossed,all,1279,-0.20555114000744423,-2.6362624431663204,16,-0.3504898692419326,-0.05721552068326837,1.4708764469891182,1.8109646287307026,-0.3400881817415844,-0.6435193029318323,-0.04031553338113953
2.0% of spot,0.02,mid,deck in-sample,866,-0.12934717161722878,-1.6036241922087946,14,-0.2667598009582149,0.022118667253361837,1.4535084251776782,1.6789925284092098,-0.22548410323153156,-0.6351202187962935,0.1223115707760611
2.0% of spot,0.02,mid,unseen,413,-0.1484509801478565,-0.8635619539135477,11,-0.48772619572134357,0.24957815490665297,1.930477038960917,2.059740526448436,-0.12926348748751915,-0.6002276040367829,0.6176238853297608
2.0% of spot,0.02,mid,all,1279,-0.13551595419983178,-1.743352211223725,16,-0.2791550463586507,0.01311567860711551,1.619311001602412,1.8109646287307026,-0.1916536271282907,-0.5097944360473151,0.12023004308573687
3.0% of spot,0.03,crossed,deck in-sample,866,-0.20327920944152472,-4.473789405752175,14,-0.30749704324420946,-0.13756297820991906,1.277580361031394,1.6789925284092098,-0.4014121673778157,-0.5950170983694303,-0.23919086076885143
3.0% of spot,0.03,crossed,unseen,413,-0.2133174281810877,-3.1746948984967913,11,-0.378109054149018,-0.12675544994727642,1.743525780847659,2.059740526448436,-0.3162147456007771,-0.4635970759396833,-0.24679320839786706
3.0% of spot,0.03,crossed,all,1279,-0.20652063582107086,-5.428467687780395,16,-0.28699340307473425,-0.14214163759557283,1.4411994496093803,1.8109646287307026,-0.36976517912132234,-0.4952325725944553,-0.2620657859071071
3.0% of spot,0.03,mid,deck in-sample,866,-0.1386140831240709,-3.4788363556421467,14,-0.22560486973319246,-0.08005254344087676,1.4211429121656531,1.6789925284092098,-0.2578496162435566,-0.44782821518639565,-0.10341827385009805
3.0% of spot,0.03,mid,unseen,413,-0.15895907498318837,-2.4537418014717036,11,-0.31787728874044396,-0.075726393514288,1.8426750091701167,2.059740526448436,-0.21706551727831935,-0.3709760606376385,-0.14796590032470047
3.0% of spot,0.03,mid,all,1279,-0.14518365438115885,-4.224300446631861,16,-0.2157439122632207,-0.08721268657872351,1.5684943903227737,1.8109646287307026,-0.24247023840792892,-0.3631785490499925,-0.13274961010382397
