sample,structure,basis,n,mean_hedge_cost_pts,mean_hedge_cost_units,mean_reported_pts,mean_charged_pts,Sharpe_reported_pts,Sharpe_charged_pts,mean_reported_units,mean_charged_units,Sharpe_reported_units,Sharpe_charged_units
deck in-sample,naked straddle (reference),crossed,866,0.3304704615619846,0.031216190856445763,0.7983451428262665,0.46787468126428183,1.6789925284092098,0.9788060579917849,0.06916039415148115,0.03794420329503538,1.970029976526192,1.06953566423133
deck in-sample,0.5% of spot,crossed,866,0.3304704615619846,0.031216190856445763,0.5994769259999937,0.26900646443800896,1.0309438259348531,0.46225504055902444,0.06236868100552122,0.031152490149075444,1.5482739202917615,0.7705922314815242
deck in-sample,1.0% of spot,crossed,866,0.3304704615619846,0.031216190856445763,0.5268432841269309,0.1963728225649463,1.0521154692780343,0.3908359274081916,0.05303334092889877,0.021817150072452995,1.502888258603418,0.6132935312268469
deck in-sample,1.5% of spot,crossed,866,0.3304704615619846,0.031216190856445763,0.581093870311219,0.2506234087492344,1.2253603900725611,0.5259509143247304,0.053271360697000954,0.022055169840555187,1.5366059769479214,0.6296824150865477
deck in-sample,2.0% of spot,crossed,866,0.3304704615619846,0.031216190856445763,0.5929298417239217,0.26245938016193715,1.2828433596552642,0.5647142652693101,0.05356499434719769,0.022348803490751933,1.5334822659489757,0.6330503144669894
deck in-sample,3.0% of spot,crossed,866,0.3304704615619846,0.031216190856445763,0.5950659333847417,0.2645954718227572,1.277580361031394,0.564967129479921,0.05628368630901473,0.025067495452568977,1.6041340768249983,0.7069212709833889
unseen,naked straddle (reference),crossed,413,0.47756760771625834,0.03937421670062884,1.173259881019616,0.6956922733033577,2.059740526448436,1.2134436487440574,0.08772071181121843,0.048346495110589596,2.5158388717403524,1.3721862435974481
unseen,0.5% of spot,crossed,413,0.47756760771625834,0.03937421670062884,0.026503123680221063,-0.4510644840360371,0.040242285065380703,-0.6826887080843327,0.027432244708946032,-0.011941971991682803,0.7227404373340983,-0.31217220593364947
unseen,1.0% of spot,crossed,413,0.47756760771625834,0.03937421670062884,0.4816852696906228,0.0041176619743645655,0.7871459889202364,0.006699031427271356,0.05806639568566837,0.01869217898503955,1.598270328419597,0.5099096637009876
unseen,1.5% of spot,crossed,413,0.47756760771625834,0.03937421670062884,0.8306931005442352,0.35312549282797673,1.495946823653151,0.6322004228225266,0.07139120382786021,0.032016987127231375,2.0322452485147133,0.9022171077002508
unseen,2.0% of spot,crossed,413,0.47756760771625834,0.03937421670062884,0.9674239068915517,0.4898562991752932,1.8225833115616743,0.9166601731479991,0.07630850531421962,0.03693428861359077,2.207588677492933,1.0571393601033037
unseen,3.0% of spot,crossed,413,0.47756760771625834,0.03937421670062884,0.9599424528385283,0.48237484512226986,1.743525780847659,0.8701548496320035,0.07616459089164686,0.03679037419101802,2.187012120804515,1.0453540789103428
all,naked straddle (reference),crossed,1279,0.3779693836587125,0.03385048692653772,0.9194083069184115,0.5414389232596989,1.8109646287307026,1.0605034447719297,0.07515367890009061,0.04130319197355289,2.146025662673973,1.167212527282934
all,0.5% of spot,crossed,1279,0.3779693836587125,0.03385048692653772,0.41445880218602477,0.03648941852731226,0.6823180234635671,0.059955735213201446,0.05108740798715879,0.01723692106062107,1.291883779322875,0.4337033968746556
all,1.0% of spot,crossed,1279,0.3779693836587125,0.03385048692653772,0.5122613764160667,0.13429199275735423,0.9505277579327479,0.24822179967552077,0.05465855720297684,0.020808070276439116,1.5347545881766782,0.5793999259281903
all,1.5% of spot,crossed,1279,0.3779693836587125,0.03385048692653772,0.6616915889087449,0.28372220525003233,1.3189768466827052,0.5626516446772128,0.059122412466387095,0.025271925539849378,1.6985256155848358,0.7187127051092549
all,2.0% of spot,crossed,1279,0.3779693836587125,0.03385048692653772,0.7138571669109671,0.33588778325225466,1.4708764469891182,0.6880551052613215,0.06090906786508672,0.02705858093854899,1.749951031868688,0.7692616863750581
all,3.0% of spot,crossed,1279,0.3779693836587125,0.03385048692653772,0.7128876710973405,0.33491828743862806,1.4411994496093803,0.6731168439172048,0.06270339982944247,0.02885291290290475,1.791836453636228,0.8159214941662005
