width,w_frac,n_naked_scored,n_no_listed_strike,n_dead_wing_quote,n_untradeable,n_tradeable,med_w_up_pts,med_w_dn_pts,med_width_pts,med_width_pct_spot,frac_days_cap_bound
0.5% of spot,0.005,1279,0,0,0,1279,25.0,25.0,25.0,0.5528547696231499,0.17591868647380765
1.0% of spot,0.01,1279,0,0,0,1279,45.0,45.0,45.0,1.0514782819419901,0.05003909304143862
1.5% of spot,0.015,1279,0,0,0,1279,70.0,70.0,70.0,1.5546193427352235,0.019546520719311962
2.0% of spot,0.02,1279,0,0,0,1279,90.0,90.0,90.0,2.0524398121461367,0.0109460516028147
3.0% of spot,0.03,1279,0,0,0,1279,135.0,135.0,135.0,3.057643394764893,0.004691164972634871
