structure,w_frac,basis,sample,n,mean_diff_pts,t_hac,t_lag,ci_lo_mean_pts,ci_hi_mean_pts,Sharpe_winged,Sharpe_naked,d_Sharpe,ci_lo_dSharpe,ci_hi_dSharpe,cap_units_med,cap_below_5_units,dSharpe_ci_lo_above_-0.5,worth_it
0.5% of spot,0.005,crossed,unseen,413,-1.146756757339395,-2.205140462895943,11,-2.146533229927246,-0.07989855929397424,0.040242285065380703,2.059740526448436,-2.0194982413830553,-3.422392828354491,-0.5816839123769717,1.5933609962200663,True,False,False
0.5% of spot,0.005,mid,unseen,413,-1.0678221390472125,-2.0668375569265565,11,-2.049069854935753,-0.009568662180613969,0.16010049084412792,2.059740526448436,-1.8996400356043082,-3.2661277710072674,-0.4928615442411476,1.589211617620997,True,False,False
1.0% of spot,0.01,crossed,unseen,413,-0.6915746113289932,-1.6175297274155698,11,-1.6338586731254603,0.21142811661960445,0.7871459889202364,2.059740526448436,-1.2725945375281997,-2.4219501732758357,0.003866439379751166,3.9403508844082817,True,False,False
1.0% of spot,0.01,mid,unseen,413,-0.625836111560067,-1.4761382107369971,11,-1.5535885638145832,0.2749919796636495,0.8945041086621344,2.059740526448436,-1.1652364177863017,-2.3069629353409034,0.09265316081348995,3.9368421122954604,True,False,False
1.5% of spot,0.015,crossed,unseen,413,-0.3425667804753809,-1.2718664219655846,11,-0.8900255606872803,0.27972041146725984,1.495946823653151,2.059740526448436,-0.5637937027952851,-1.2794765180546903,0.40937331368483454,6.304545480757952,False,False,False
1.5% of spot,0.015,mid,unseen,413,-0.28203409269325813,-1.0570679248531274,11,-0.8171659628514507,0.33503095515390274,1.6046799177796707,2.059740526448436,-0.4550606086687654,-1.1625646355629757,0.5051016343784007,6.300000026144764,False,False,False
2.0% of spot,0.02,crossed,unseen,413,-0.20583597412806445,-1.1844210983338028,11,-0.5534026656459936,0.19394256692451836,1.8225833115616743,2.059740526448436,-0.23715721488676178,-0.7079009683406511,0.514906762374458,8.697580563067289,False,False,False
2.0% of spot,0.02,mid,unseen,413,-0.1484509801478565,-0.8635619539135477,11,-0.48772619572134357,0.24957815490665297,1.930477038960917,2.059740526448436,-0.12926348748751915,-0.6002276040367829,0.6176238853297608,8.6935483049737,False,False,False
3.0% of spot,0.03,crossed,unseen,413,-0.2133174281810877,-3.1746948984967913,11,-0.378109054149018,-0.12675544994727642,1.743525780847659,2.059740526448436,-0.3162147456007771,-0.4635970759396833,-0.24679320839786706,13.446308841275854,False,True,False
3.0% of spot,0.03,mid,unseen,413,-0.15895907498318837,-2.4537418014717036,11,-0.31787728874044396,-0.075726393514288,1.8426750091701167,2.059740526448436,-0.21706551727831935,-0.3709760606376385,-0.14796590032470047,13.442953136495646,False,True,False
