placement,jump_pct,structure,basis,tradeable,K_wing_c,K_wing_p,S_settle_stressed,straddle_settle_pts,wing_intrinsic_pts,wing_cost_pts,four_leg_pts,hedge_pts,pnl_pts,pnl_units,pnl_dollars,four_leg_units,four_leg_dollars,hedge_units,hedge_dollars,cap_units,cap_dollars
base (no jump),0.0,naked straddle (reference),crossed,True,,,3577.590087890625,7.590087890625,0.0,0.0,1.5099122524261475,-1.696468837661417,-0.18655658523526952,-0.019846445288132515,-18.655658523526952,0.16062896343147237,150.99122524261475,-0.1804754087196049,-169.64688376614168,inf,inf
base (no jump),0.0,0.5% of spot,crossed,True,3590.0,3545.0,3577.590087890625,7.590087890625,0.0,1.350000023841858,0.15991222858428955,-1.696468837661417,-1.5365566090771274,-0.16346346946536172,-153.65566090771273,0.01701193925424317,15.991222858428955,-0.1804754087196049,-169.64688376614168,1.3031914799852358,1224.999988079071
base (no jump),0.0,1.0% of spot,crossed,True,3610.0,3525.0,3577.590087890625,7.590087890625,0.0,0.30000000447034836,1.209912247955799,-1.696468837661417,-0.4865565897056179,-0.05176133946167068,-48.65565897056179,0.12871406925793422,120.99122479557991,-0.1804754087196049,-169.64688376614168,3.319148929846157,3119.99998614192
base (no jump),0.0,1.5% of spot,crossed,True,3625.0,3510.0,3577.590087890625,7.590087890625,0.0,0.15000000223517418,1.3599122501909733,-1.696468837661417,-0.3365565874704437,-0.0358038923749016,-33.65565874704437,0.1446715163447033,135.99122501909733,-0.1804754087196049,-169.64688376614168,4.898936167657848,4604.999985918403
base (no jump),0.0,2.0% of spot,crossed,True,3645.0,3490.0,3577.590087890625,7.590087890625,0.0,0.10000000149011612,1.4099122509360313,-1.696468837661417,-0.28655658672538564,-0.03048474334597857,-28.655658672538564,0.14999066537362632,140.99122509360313,-0.1804754087196049,-169.64688376614168,7.021276598493537,6599.999985843897
base (no jump),0.0,3.0% of spot,crossed,True,3680.0,3455.0,3577.590087890625,7.590087890625,0.0,0.10000000149011612,1.4099122509360313,-1.696468837661417,-0.28655658672538564,-0.03048474334597857,-28.655658672538564,0.14999066537362632,140.99122509360313,-0.1804754087196049,-169.64688376614168,10.744680863256608,10099.999985843897
last bar,1.0,naked straddle (reference),crossed,True,,,3616.123269042969,46.123269042968786,0.0,0.0,-37.02326889991764,30.9683580991617,-6.054910800755938,-0.6441394485227041,-605.4910800755938,-3.9386456376406667,-3702.326889991764,3.294506189117963,3096.83580991617,inf,inf
last bar,1.0,0.5% of spot,crossed,True,3590.0,3545.0,3616.123269042969,46.123269042968786,26.123269042968786,1.350000023841858,-12.24999988079071,30.9683580991617,18.71835821837099,1.991314709132727,1871.835821837099,-1.3031914799852358,-1224.999988079071,3.294506189117963,3096.83580991617,1.3031914799852358,1224.999988079071
last bar,1.0,1.0% of spot,crossed,True,3610.0,3525.0,3616.123269042969,46.123269042968786,6.123269042968786,0.30000000447034836,-31.1999998614192,30.9683580991617,-0.23164176225749955,-0.024642740728194498,-23.164176225749955,-3.319148929846157,-3119.99998614192,3.294506189117963,3096.83580991617,3.319148929846157,3119.99998614192
last bar,1.0,1.5% of spot,crossed,True,3625.0,3510.0,3616.123269042969,46.123269042968786,0.0,0.15000000223517418,-37.17326890215281,30.9683580991617,-6.204910802991112,-0.6600968956094732,-620.4910802991112,-3.954603084727436,-3717.3268902152813,3.294506189117963,3096.83580991617,4.898936167657848,4604.999985918403
last bar,1.0,2.0% of spot,crossed,True,3645.0,3490.0,3616.123269042969,46.123269042968786,0.0,0.10000000149011612,-37.123268901407755,30.9683580991617,-6.154910802246054,-0.6547777465805502,-615.4910802246054,-3.9492839356985128,-3712.3268901407755,3.294506189117963,3096.83580991617,7.021276598493537,6599.999985843897
last bar,1.0,3.0% of spot,crossed,True,3680.0,3455.0,3616.123269042969,46.123269042968786,0.0,0.10000000149011612,-37.123268901407755,30.9683580991617,-6.154910802246054,-0.6547777465805502,-615.4910802246054,-3.9492839356985128,-3712.3268901407755,3.294506189117963,3096.83580991617,10.744680863256608,10099.999985843897
last bar,-1.0,naked straddle (reference),crossed,True,,,3544.516867675781,20.483132324218786,0.0,0.0,-11.383132181167639,-29.73285156687714,-41.11598374804478,-4.37404083535426,-4111.598374804478,-1.2109715117063244,-1138.313218116764,-3.1630693236479352,-2973.285156687714,inf,inf
last bar,-1.0,0.5% of spot,crossed,True,3590.0,3545.0,3544.516867675781,20.483132324218786,0.4831323242187864,1.350000023841858,-12.24999988079071,-29.73285156687714,-41.982851447667855,-4.466260803633172,-4198.285144766785,-1.3031914799852358,-1224.999988079071,-3.1630693236479352,-2973.285156687714,1.3031914799852358,1224.999988079071
last bar,-1.0,1.0% of spot,crossed,True,3610.0,3525.0,3544.516867675781,20.483132324218786,0.0,0.30000000447034836,-11.683132185637987,-29.73285156687714,-41.41598375251513,-4.405955729527798,-4141.598375251513,-1.2428864058798625,-1168.3132185637987,-3.1630693236479352,-2973.285156687714,3.319148929846157,3119.99998614192
last bar,-1.0,1.5% of spot,crossed,True,3625.0,3510.0,3544.516867675781,20.483132324218786,0.0,0.15000000223517418,-11.533132183402813,-29.73285156687714,-41.26598375027996,-4.389998282441029,-4126.598375027996,-1.2269289587930936,-1153.3132183402813,-3.1630693236479352,-2973.285156687714,4.898936167657848,4604.999985918403
last bar,-1.0,2.0% of spot,crossed,True,3645.0,3490.0,3544.516867675781,20.483132324218786,0.0,0.10000000149011612,-11.483132182657755,-29.73285156687714,-41.2159837495349,-4.384679133412106,-4121.59837495349,-1.2216098097641706,-1148.3132182657755,-3.1630693236479352,-2973.285156687714,7.021276598493537,6599.999985843897
last bar,-1.0,3.0% of spot,crossed,True,3680.0,3455.0,3544.516867675781,20.483132324218786,0.0,0.10000000149011612,-11.483132182657755,-29.73285156687714,-41.2159837495349,-4.384679133412106,-4121.59837495349,-1.2216098097641706,-1148.3132182657755,-3.1630693236479352,-2973.285156687714,10.744680863256608,10099.999985843897
last bar,2.0,naked straddle (reference),crossed,True,,,3651.9264697265626,81.92646972656257,0.0,0.0,-72.82646958351143,61.31896293218112,-11.507506651330303,-1.2242028383529333,-1150.7506651330302,-7.747496783853845,-7282.6469583511425,6.523293945500912,6131.896293218112,inf,inf
last bar,2.0,0.5% of spot,crossed,True,3590.0,3545.0,3651.9264697265626,81.92646972656257,61.92646972656257,1.350000023841858,-12.24999988079071,61.31896293218112,49.06896305139041,5.220102465515676,4906.896305139041,-1.3031914799852358,-1224.999988079071,6.523293945500912,6131.896293218112,1.3031914799852358,1224.999988079071
last bar,2.0,1.0% of spot,crossed,True,3610.0,3525.0,3651.9264697265626,81.92646972656257,41.92646972656257,0.30000000447034836,-31.1999998614192,61.31896293218112,30.11896307076192,3.2041450156547544,3011.896307076192,-3.319148929846157,-3119.99998614192,6.523293945500912,6131.896293218112,3.319148929846157,3119.99998614192
last bar,2.0,1.5% of spot,crossed,True,3625.0,3510.0,3651.9264697265626,81.92646972656257,26.926469726562573,0.15000000223517418,-46.04999985918403,61.31896293218112,15.268963072997096,1.6243577778430642,1526.8963072997096,-4.898936167657848,-4604.999985918403,6.523293945500912,6131.896293218112,4.898936167657848,4604.999985918403
last bar,2.0,2.0% of spot,crossed,True,3645.0,3490.0,3651.9264697265626,81.92646972656257,6.926469726562573,0.10000000149011612,-65.99999985843897,61.31896293218112,-4.681036926257846,-0.4979826529926253,-468.1036926257846,-7.021276598493537,-6599.999985843897,6.523293945500912,6131.896293218112,7.021276598493537,6599.999985843897
last bar,2.0,3.0% of spot,crossed,True,3680.0,3455.0,3651.9264697265626,81.92646972656257,0.0,0.10000000149011612,-72.92646958500154,61.31896293218112,-11.607506652820419,-1.2348411364107794,-1160.7506652820418,-7.758135081911691,-7292.646958500154,6.523293945500912,6131.896293218112,10.744680863256608,10099.999985843897
last bar,-2.0,naked straddle (reference),crossed,True,,,3508.7136669921874,56.28633300781257,0.0,0.0,-47.186332864761425,-60.08345639989656,-107.26978926465799,-11.411679737950386,-10726.9789264658,-5.019822657919502,-4718.6332864761425,-6.391857080030884,-6008.345639989656,inf,inf
