,naked|pts,naked|units,entry_mid_pts,bid_pts,hedge_hold_pts,cost_hold_pts,0.5% of spot|crossed|pts,0.5% of spot|crossed|units,0.5% of spot|mid|pts,0.5% of spot|mid|units,1.0% of spot|crossed|pts,1.0% of spot|crossed|units,1.0% of spot|mid|pts,1.0% of spot|mid|units,1.5% of spot|crossed|pts,1.5% of spot|crossed|units,1.5% of spot|mid|pts,1.5% of spot|mid|units,2.0% of spot|crossed|pts,2.0% of spot|crossed|units,2.0% of spot|mid|pts,2.0% of spot|mid|units,3.0% of spot|crossed|pts,3.0% of spot|crossed|units,3.0% of spot|mid|pts,3.0% of spot|mid|units
2020-01-03,-1.6125914904311496,-0.4134849937548138,3.900000035762787,3.7500001192092896,-0.21268926589043913,0.3260719925384852,-1.912591494901498,-0.4904080711187535,-1.8375914937839108,-0.47117730177776856,-1.7625914926663238,-0.4519465324367837,-1.7125914919212657,-0.43912601954279373,-1.7125914919212657,-0.43912601954279373,-1.6625914911762076,-0.42630550664880373,-1.7125914919212657,-0.43912601954279373,-1.6625914911762076,-0.42630550664880373,-1.7125914919212657,-0.43912601954279373,-1.6625914911762076,-0.42630550664880373
2020-01-06,-0.6413047442699313,-0.21026385386757154,3.049999952316284,2.899999976158142,2.7387245764469266,0.18094294760797938,-0.8413047509754539,-0.2758376275830875,-0.7663047479952216,-0.2512474622870932,-0.7413047457600475,-0.24305074011462618,-0.6913047450149894,-0.22665729699109888,-0.7413047457600475,-0.24305074011462618,-0.6913047450149894,-0.22665729699109888,-0.7413047457600475,-0.24305074011462618,-0.6913047450149894,-0.22665729699109888,-0.7413047457600475,-0.24305074011462618,-0.6913047450149894,-0.22665729699109888
2020-01-08,-9.52070392279628,-2.9986468935589365,3.175000011920929,3.0,-10.57075275092128,0.3791978580691008,-9.820703927266628,-3.0931350835885305,-9.720703925776512,-3.0616390202453325,-9.670703925031454,-3.0458909885737335,-9.620703924286396,-3.0301429569021345,-9.620703924286396,-3.0301429569021345,-9.570703923541338,-3.0143949252305355,-9.620703924286396,-3.0301429569021345,-9.570703923541338,-3.0143949252305355,-9.620703924286396,-3.0301429569021345,-9.570703923541338,-3.0143949252305355
2020-01-10,-1.1228889832000704,-0.3278507911679867,3.4250000715255737,3.3000000715255737,5.227013289024356,0.3134142929487348,-1.4728889846901865,-0.430040570490887,-1.3728889869253607,-0.4008434914612555,-1.322888989905593,-0.3862449524902777,-1.2478889869253607,-0.36434714185845907,-1.2728889854352445,-0.37164641134394794,-1.2228889846901865,-0.3570478712852942,-1.2228889846901865,-0.3570478712852942,-1.1728889839451284,-0.34244933122664045,-1.2228889846901865,-0.3570478712852942,-1.1728889839451284,-0.34244933122664045
2020-01-13,-1.4643721733201578,-0.5277016886131699,2.774999976158142,2.649999976158142,-0.9844893369782999,0.1518420474043056,-1.6643721800256803,-0.5997737637208653,-1.589372177045448,-0.5727467353876736,-1.564372174810274,-0.5637377254957942,-1.5143721740652158,-0.545719707054482,-1.564372174810274,-0.5637377254957942,-1.5143721740652158,-0.545719707054482,-1.564372174810274,-0.5637377254957942,-1.5143721740652158,-0.545719707054482,-1.564372174810274,-0.5637377254957942,-1.5143721740652158,-0.545719707054482
2020-01-15,-3.047364050168663,-0.673450613499269,4.525000035762787,4.3500001430511475,-7.39736419321981,0.41611585057637185,-3.2973640538939533,-0.7286992326704173,-3.2473640550115404,-0.7176495092478219,-3.197364052403837,-0.706599785001958,-3.12236405128625,-0.6900251992506135,-3.147364051658779,-0.6955500611677283,-3.097364050913721,-0.6845003373334987,-3.147364051658779,-0.6955500611677283,-3.097364050913721,-0.6845003373334987,-3.147364051658779,-0.6955500611677283,-3.097364050913721,-0.6845003373334987
2020-01-17,0.14187576342344022,0.03709170354939754,3.8249999284744263,3.6499998569488525,1.1119930939745877,0.1230180702620838,-0.15812424104690814,-0.04133967163496781,-0.05812423955679202,-0.015195879906846026,-0.008124238811733964,-0.002123984042785135,0.06687576230585313,0.017483859753306203,0.041875761933324096,0.010947911821275757,0.09187576267838216,0.02401980768533665,0.041875761933324096,0.010947911821275757,0.09187576267838216,0.02401980768533665,0.041875761933324096,0.010947911821275757,0.09187576267838216,0.02401980768533665
2020-01-21,0.7668361164893969,0.20448962781356406,3.7500000596046448,3.600000023841858,-2.833163907352461,0.24607401734391413,0.5668361097838743,0.1511562935398019,0.6168361123915775,0.16448962735659514,0.6168361142542227,0.16448962785330049,0.6918361153718098,0.18448962783343228,0.6668361149992807,0.17782296117338836,0.7168361157443388,0.1911562944934762,0.6668361149992807,0.17782296117338836,0.7168361157443388,0.1911562944934762,0.6668361149992807,0.17782296117338836,0.7168361157443388,0.1911562944934762
2020-01-22,-1.7257344460884432,-0.5899946920415666,2.924999952316284,2.75,3.774265553911557,0.30994347017652807,-1.9257344527939657,-0.6583707638247966,-1.8757344501862625,-0.6412767455605882,-1.8257344475785593,-0.6241827272963798,-1.7757344468335012,-0.6070887096689732,-1.8257344475785593,-0.6241827272963798,-1.7757344468335012,-0.6070887096689732,-1.8257344475785593,-0.6241827272963798,-1.7757344468335012,-0.6070887096689732,-1.8257344475785593,-0.6241827272963798,-1.7757344468335012,-0.6070887096689732
2020-01-24,2.628119197502061,0.31474481317340836,8.350000023841858,8.099999904632568,-5.471880707130508,0.22752177738752735,1.228119161739274,0.14708013871049225,1.3531191840910157,0.16205020122484284,2.1281192086779317,0.2548645751618547,2.2031192060702285,0.2638466107520521,2.3781191937767705,0.2848046930522751,2.4531191948943576,0.2937867290886151,2.4281191907965383,0.2907927166303592,2.5031191937767705,0.29977475288977046,2.4781191952668866,0.29678074110072844,2.5531191963844737,0.3057627771370684
2020-01-27,0.21921103190132651,0.026733052904076033,8.199999928474426,7.999999761581421,3.5893284578199056,0.23916887757446476,-1.0307889680986735,-0.12570597281583723,-0.8807889770393702,-0.10741329081977652,-0.18078896288326707,-0.022047434690271036,-0.0807889669810864,-0.009852313132412043,0.019211025195803977,0.0023428079711432515,0.09421102817603622,0.011489149877781006,0.1192110304112104,0.014537930664761492,0.16921103115626845,0.02063549178441876,0.1192110304112104,0.014537930664761492,0.16921103115626845,0.02063549178441876
2020-01-29,0.4074958270407629,0.04939343358069854,8.25,8.0,4.007593483290763,0.2253813380489776,-0.5925041729592371,-0.07181868763142267,-0.49250416401854036,-0.05969747442648974,0.05749581437477591,0.006969189621184959,0.1324958192176533,0.016060099299109492,0.2074958203352404,0.025151008525483683,0.2824958233154726,0.03424191797763305,0.3074958255506468,0.03727222127886628,0.35749582629570487,0.04333282742978241,0.3074958255506468,0.03727222127886628,0.35749582629570487,0.04333282742978241
2020-01-31,6.011707061998685,0.46783712891946383,12.849999904632568,12.5,-2.0083124692513157,0.21956414103467237,2.9117071573661164,0.22659199836386096,3.0617070739196137,0.23826514370757576,4.861707085840543,0.3783429666865478,5.011707076899846,0.39001611782837986,5.561707066469033,0.4328176737545325,5.661707062371214,0.4405997746607068,5.811707055293162,0.4522729259474918,5.8867070582733945,0.45810950209821955,5.861707059763511,0.4561639769079142,5.936707060881098,0.462000552913689
2020-02-03,2.6439531549265745,0.3284413827869088,8.050000071525574,7.800000190734863,-5.156047035808289,0.347789868363054,1.74395314896611,0.21664014080382604,1.8439531392803552,0.2290624997386992,2.243953160141981,0.27875194288249544,2.3189531575342777,0.28806871266211154,2.393953151201284,0.29738548197895864,2.4689531523188712,0.3067022522213437,2.4939531526914003,0.3098078423021387,2.5439531534364583,0.31601902246372876,2.4939531526914003,0.3098078423021387,2.5689531538089874,0.3191246125445238
2020-02-05,0.9518065988965614,0.197265616838995,4.824999988079071,4.600000023841858,1.0417479813047035,0.31401768737792096,0.5518066041119678,0.11436406331094169,0.6268066015042646,0.12990810425966628,0.7518065921910388,0.1558148381447661,0.8268065951712711,0.17135888025161206,0.8018065966613872,0.166177533397384,0.8518065974064453,0.17654022787792098,0.8518065974064453,0.17654022787792098,0.9018065981515033,0.18690292235845798,0.8518065974064453,0.17654022787792098,0.9018065981515033,0.18690292235845798
2020-02-07,-1.953641996625557,-0.3849540934304669,5.074999928474426,4.849999904632568,0.48639716124187476,0.3004830337725653,-2.553641998115673,-0.5031806963755588,-2.4286419943903828,-0.4785501534224546,-2.2036420003508472,-0.434215178602628,-2.12864199923326,-0.41943685305097966,-2.053641998115673,-0.4046585274993313,-2.003641997370615,-0.3948063104648991,-2.053641998115673,-0.4046585274993313,-2.003641997370615,-0.3948063104648991,-2.053641998115673,-0.4046585274993313,-2.003641997370615,-0.3948063104648991
2020-02-10,-0.3464640554330698,-0.08200332626697233,4.225000023841858,4.049999952316284,7.693623882875646,0.31518840631880757,-0.5964640591583601,-0.14117492444792606,-0.521464058040773,-0.12342344499363994,-0.496464057668244,-0.11750628517554457,-0.4464640569231859,-0.10567196553935383,-0.4464640569231859,-0.10567196553935383,-0.39646405617812785,-0.09383764590316308,-0.4464640569231859,-0.10567196553935383,-0.39646405617812785,-0.09383764590316308,-0.4464640569231859,-0.10567196553935383,-0.39646405617812785,-0.09383764590316308
2020-02-12,1.9727204202263184,0.4509075246231585,4.375,4.25,2.1726715921013184,0.21866998147598374,1.7227204165010281,0.39376466662880644,1.772720415383441,0.4051932378019294,1.8227204179911443,0.4166218098265473,1.8727204187362023,0.4280503814254177,1.8727204187362023,0.4280503814254177,1.9227204194812604,0.4394789530242881,1.8727204187362023,0.4280503814254177,1.9227204194812604,0.4394789530242881,1.8727204187362023,0.4280503814254177,1.9227204194812604,0.4394789530242881
2020-02-14,-0.9700102627303009,-0.17556746723104416,5.525000035762787,5.300000071525574,-1.1100982248808746,0.1054933344703009,-1.570010275396288,-0.2841647538884641,-1.49501026310283,-0.2705900911177872,-1.2200102664555912,-0.22081633639069387,-1.145010265338004,-0.20724167564279897,-1.120010264965475,-0.202716788726834,-1.045010263847888,-0.18914212797893906,-1.070010264220417,-0.19366701489490404,-1.020010263475359,-0.1846172410629741,-1.070010264220417,-0.19366701489490404,-1.020010263475359,-0.1846172410629741
2020-02-18,1.4881228593916864,0.34014236322688496,4.375000059604645,4.2500001192092896,-2.471838197317603,0.27514823134675,1.1381228579015703,0.2601423639762005,1.2131228571565122,0.2772852207152057,1.2881228526861639,0.2944280766027161,1.3631228556663961,0.3115709341932163,1.3881228579015703,0.317285220340548,1.4381228586466284,0.32871379178371646,1.3881228579015703,0.317285220340548,1.4381228586466284,0.32871379178371646,1.3881228579015703,0.317285220340548,1.4381228586466284,0.32871379178371646
