sample,structure,w_frac,basis,n_untradeable,wing_cost_pct_prem_med,net_credit_units_med,cap_units_med,cap_dollars_med,frac_days_cap_bound,n,mean_pts,mean_units,sd_pts,sd_units,Sharpe_ann_pts,Sharpe_ann_units,t_hac_pts,t_hac_units,t_lag_pts,t_lag_units,MaxDD_pts,MaxDD_units,worst_pts,worst_units,worst_date,n_naked_matched,naked_mean_pts,naked_Sharpe_ann_pts,naked_mean_units,naked_Sharpe_ann_units
deck in-sample,naked straddle (reference),,straddle at the bid,0,,,inf,inf,,866,0.7983451428262665,0.06916039415148115,7.5481790630095436,0.5572946777876372,1.6789925284092098,1.970029976526192,2.7816746504886214,3.6529268106100927,14,14,-192.19885736752235,-10.321788114104853,-75.84721307472019,-6.742309029989063,2020-03-13,866,0.7983451428262665,1.6789925284092098,0.06916039415148115,1.970029976526192
unseen,naked straddle (reference),,straddle at the bid,0,,,inf,inf,,413,1.173259881019616,0.08772071181121843,9.04236381787241,0.5535025097728188,2.059740526448436,2.5158388717403524,3.210431936741199,3.557951999662863,11,11,-92.66270041290448,-3.960167505951244,-39.48886167739127,-3.2528640748102036,2025-04-16,413,1.173259881019616,2.059740526448436,0.08772071181121843,2.5158388717403524
all,naked straddle (reference),,straddle at the bid,0,,,inf,inf,,1279,0.9194083069184115,0.07515367890009061,8.059326045936114,0.5559242313071531,1.8109646287307026,2.146025662673973,4.121129763037136,5.098143298930611,16,16,-192.19885736752235,-10.321788114104853,-75.84721307472019,-6.742309029989063,2020-03-13,1279,0.9194083069184115,1.8109646287307026,0.07515367890009061,2.146025662673973
deck in-sample,0.5% of spot,0.005,crossed,0,14.455739700020533,0.833108053990482,1.1165052902487618,1330.0000131130219,0.20785219399538107,866,0.5994769259999937,0.06236868100552122,9.230765962321286,0.6394683164667592,1.0309438259348531,1.5482739202917615,1.8396748120525206,2.883136580948165,14,14,-233.0281349789871,-10.775249242261545,-51.38159946869975,-5.792300424568565,2020-02-28,866,0.7983451428262665,1.6789925284092098,0.06916039415148115,1.970029976526192
unseen,0.5% of spot,0.005,crossed,0,10.108303146557192,0.8870967865982611,1.5933609962200663,2015.0000289082527,0.1089588377723971,413,0.026503123680221063,0.027432244708946032,10.454775236097323,0.6025308145634134,0.040242285065380703,0.7227404373340983,0.05852543481782979,1.1235538124877744,11,11,-295.2070008437084,-10.830297053291067,-38.01888244800392,-3.3153640748102036,2025-04-04,413,1.173259881019616,2.059740526448436,0.08772071181121843,2.5158388717403524
all,0.5% of spot,0.005,crossed,0,12.79461291218819,0.8551236852415747,1.286956504635189,1534.9999904632568,0.17591868647380765,1279,0.41445880218602477,0.05108740798715879,9.642614278599542,0.6277557416121218,0.6823180234635671,1.291883779322875,1.5358820153078074,3.0809996156035195,16,16,-295.2070008437089,-10.83029705329107,-51.38159946869975,-5.792300424568565,2020-02-28,1279,0.9194083069184115,1.8109646287307026,0.07515367890009061,2.146025662673973
deck in-sample,0.5% of spot,0.005,mid,0,13.654916700144767,0.8420585376440064,1.1093232468030283,1322.500005364418,0.20785219399538107,866,0.7271905509622528,0.07130834266727876,9.202373129295399,0.6388997820602342,1.2544364328005522,1.77177215957174,2.2938752710088344,3.3165154874743656,14,14,-203.47813471933438,-9.396709599045558,-50.28159908723002,-5.777594542699009,2020-02-28,866,0.7983451428262665,1.6789925284092098,0.06916039415148115,1.970029976526192
unseen,0.5% of spot,0.005,mid,0,9.712230079510366,0.8918918829353345,1.589211617620997,2007.5000278651714,0.1089588377723971,413,0.10543774197240353,0.032876831853129125,10.454510511055375,0.6025154019067623,0.16010049084412792,0.8662077753078951,0.2347421606037095,1.3461331295722858,11,11,-285.1820034976052,-10.476072685315696,-37.76888244800392,-3.310155741088819,2025-04-04,413,1.173259881019616,2.059740526448436,0.08772071181121843,2.5158388717403524
all,0.5% of spot,0.005,mid,0,12.130177511662513,0.862068975518285,1.2813852786765378,1529.9999713897705,0.17591868647380765,1279,0.5264212701860154,0.05889848030117728,9.624798227033983,0.6274037522044713,0.8682445488705951,1.4902435402627279,1.993415647941318,3.5643905249386014,16,16,-285.1820034976056,-10.476072685315714,-50.28159908723002,-5.777594542699009,2020-02-28,1279,0.9194083069184115,1.8109646287307026,0.07515367890009061,2.146025662673973
deck in-sample,1.0% of spot,0.01,crossed,0,4.321734932798161,0.9358732531384939,2.726963169628424,3187.4999905005097,0.06466512702078522,866,0.5268432841269309,0.05303334092889877,7.949106445479217,0.5601735078687382,1.0521154692780343,1.502888258603418,1.8335743366293806,2.76731954014906,14,14,-215.84997973520328,-9.546875948093728,-51.10157017182475,-6.771720795371686,2020-02-28,866,0.7983451428262665,1.6789925284092098,0.06916039415148115,1.970029976526192
unseen,1.0% of spot,0.01,crossed,0,3.4129693119161737,0.9523809704752195,3.9403508844082817,4805.000019818544,0.01937046004842615,413,0.4816852696906228,0.05806639568566837,9.71422926681729,0.5767331337473962,0.7871459889202364,1.598270328419597,1.0901884194853766,2.3778731224329563,11,11,-225.7496114057622,-7.731695141008881,-47.53880422763649,-3.273697408531588,2025-04-04,413,1.173259881019616,2.059740526448436,0.08772071181121843,2.5158388717403524
all,1.0% of spot,0.01,crossed,0,3.97877976032976,0.9423076848865025,3.105263129286286,3665.0000002235174,0.05003909304143862,1279,0.5122613764160667,0.05465855720297684,8.555139165266453,0.5653527299858861,0.9505277579327479,1.5347545881766782,2.0985739905118774,3.664713765278145,16,16,-225.74961140576238,-9.546875948093728,-51.10157017182475,-6.771720795371686,2020-02-28,1279,0.9194083069184115,1.8109646287307026,0.07515367890009061,2.146025662673973
deck in-sample,1.0% of spot,0.01,mid,0,3.5714287109592546,0.942734362084265,2.721622584918784,3180.0000058487058,0.06466512702078522,866,0.6258328933084677,0.060156694755787034,7.916614189321404,0.559814226011723,1.2549290580902916,1.705847904080626,2.247188432041984,3.15610654423981,14,14,-190.87497945245374,-8.491193595447056,-50.101570410243326,-6.764367853889071,2020-02-28,866,0.7983451428262665,1.6789925284092098,0.06916039415148115,1.970029976526192
unseen,1.0% of spot,0.01,mid,0,2.903225813661852,0.9580838347303401,3.9368421122954604,4800.000019557774,0.01937046004842615,413,0.5474237694595491,0.06288883086098729,9.7149726316299,0.576832150336507,0.8945041086621344,1.7307101201419899,1.2476979819880372,2.571187444548154,11,11,-221.27461087528084,-7.628950791523771,-47.38880437068764,-3.268489075004229,2025-04-04,413,1.173259881019616,2.059740526448436,0.08772071181121843,2.5158388717403524
all,1.0% of spot,0.01,mid,0,3.3333334281589044,0.9485049821374976,3.101214547031008,3660.0000001490116,0.05003909304143862,1279,0.6005139189929061,0.06103892478819337,8.535047863686547,0.5651409280501233,1.1169079638658952,1.714550908654194,2.5206279493900876,4.108226893279121,16,16,-221.27461087528104,-8.491193595447056,-50.101570410243326,-6.764367853889071,2020-02-28,1279,0.9194083069184115,1.8109646287307026,0.07515367890009061,2.146025662673973
deck in-sample,1.5% of spot,0.015,crossed,0,2.292282463731304,0.9581450512661888,4.461538472430365,5187.500009685755,0.02424942263279446,866,0.581093870311219,0.053271360697000954,7.528054024023728,0.5503405864120043,1.2253603900725611,1.5366059769479214,2.1109319915053173,2.840959847979819,14,14,-164.10900613117425,-10.287291046301906,-45.99770188840833,-6.764367853615153,2021-11-22,866,0.7983451428262665,1.6789925284092098,0.06916039415148115,1.970029976526192
