segment,estimator,train_win,deck_days,pct_buy,Sharpe_mid,Sharpe_crossed,ridge_Sharpe_mid_same_days
bar1600,reclasso,500,866,34.75750577367205,1.3691248403659624,0.8945336218303532,1.3383216004229939
bar1600,reclasso,2000,866,39.95381062355658,1.1637601136005997,0.6961784833241795,1.3383216004229939
bar1600,reclasticnet,500,866,33.94919168591224,1.0895133227033185,0.6144003505232665,1.3383216004229939
bar1600,reclasticnet,2000,866,38.4526558891455,1.5496351073611931,1.0819280157231548,1.3383216004229939
bar1600,ridge,500,866,37.75981524249423,0.7933078104198344,0.31972066378151554,1.3383216004229939
bar1600,ridge,2000,866,37.41339491916859,1.5525439136549324,1.0810257910606107,1.3383216004229939
blk_close,reclasso,500,866,34.8729792147806,1.0458987364994405,0.5748114528306282,1.3383216004229939
blk_close,reclasso,2000,866,36.489607390300236,1.5030833497738731,1.0337770494509577,1.3383216004229939
blk_close,reclasticnet,500,866,32.67898383371824,1.1644756531103473,0.6913243357900859,1.3383216004229939
blk_close,reclasticnet,2000,866,36.489607390300236,1.6246889348746794,1.1562301235308998,1.3383216004229939
blk_close,ridge,500,866,34.75750577367205,1.319113505275039,0.8485870353401578,1.3383216004229939
blk_close,ridge,2000,866,36.489607390300236,1.8030068388174674,1.3348541259124844,1.3383216004229939
none,reclasso,500,866,37.29792147806005,0.41748390706215144,-0.056635144740398755,1.3383216004229939
none,reclasso,2000,866,38.56812933025404,1.1907553738108343,0.7193739322446185,1.3383216004229939
none,reclasticnet,500,866,36.1431870669746,0.5471355029393307,0.07237046205124022,1.3383216004229939
none,reclasticnet,2000,866,39.14549653579677,1.384585784152515,0.914978731163133,1.3383216004229939
none,ridge,500,866,37.41339491916859,0.7341789951009631,0.25974638420278046,1.3383216004229939
none,ridge,2000,866,40.7621247113164,0.9388752365171082,0.4665388078420713,1.3383216004229939
