period,unit,difference,n,mean_diff,t_hac,t_lag,ci_lo,ci_hi,excludes_zero_positive,d_Sharpe
2024-05-01..2025-12-31,premium,ride-flat - book,413,0.007314713024088009,1.0065200396129699,11,-0.008318910729328458,0.0204232325925447,False,0.19043950275472987
2024-05-01..2025-12-31,index points,ride-flat - book,413,0.14027055515287576,0.8382570429474194,11,-0.2274052446696808,0.45116581236898495,False,0.22267778935508117
2024-05-01..2025-12-31,premium,ride-hedged - book,413,0.006676474415391081,1.3898828452026513,11,-0.002936236984176107,0.01526678878420032,False,0.20534378694194477
2024-05-01..2025-12-31,index points,ride-hedged - book,413,0.15802204140656023,1.4818563144014367,11,-0.04129297020281296,0.3373651943425749,False,0.25627012588667974
2024H2 (2024-05-01..2024-12-31),premium,ride-flat - book,166,-0.0071179422673339175,-0.486049879226598,8,-0.039056349638321,0.02011534870970096,False,-0.9040330493320141
2024H2 (2024-05-01..2024-12-31),index points,ride-flat - book,166,-0.2948118619037321,-0.9439121617829584,8,-0.9656137040344975,0.2796587516239518,False,-1.1741659979281436
2024H2 (2024-05-01..2024-12-31),premium,ride-hedged - book,166,-0.0003086197198630105,-0.03338487945845814,8,-0.01963531151749524,0.016251632147952708,False,-0.3757202555873915
2024H2 (2024-05-01..2024-12-31),index points,ride-hedged - book,166,-0.09701944265791773,-0.5839986051780013,8,-0.42297565515749824,0.19488282454608372,False,-0.525145836379052
2025,premium,ride-flat - book,247,0.017014392288768332,3.2257091009943473,9,0.005263853013417138,0.027029074539396118,True,0.6419021418798538
2025,index points,ride-flat - book,247,0.43267412289132473,3.1339492384133583,9,0.1808858101263733,0.701829580748114,True,0.6410822703762826
2025,premium,ride-hedged - book,247,0.011370910150015288,2.525493768865277,9,0.002511435805748657,0.01958934062074319,True,0.4281280421722299
2025,index points,ride-hedged - book,247,0.32942643960373974,2.5829659279187016,9,0.12145198841764182,0.5147998842104378,True,0.4996511096395534
