date,ride_leg,case,K_ride,S_1530,S_close,settle_move_pts,dist_ride_pts,dist_in_implied_moves,ask_ride_pts,pay_ride_pts,saved_pts,resid_hedge_pts,entry_mid,r_book,r_ride_flat,r_ride_hedged,r_hold
2024-04-04,call,put in the money,5250.0,5155.02978515625,5147.2099609375,-7.81982421875,94.97021484375,5.143825005364088,0.05000000074505806,0.0,0.05000000074505806,-1.3665313411981316e-06,10.100000143051147,-2.2028675866604797,-2.197917091607323,-2.1979172269074536,-2.095958834322059
2023-12-20,call,put in the money,4775.0,4712.259765625,4698.35009765625,-13.90966796875,62.740234375,4.543414824215093,0.05000000074505806,0.0,0.05000000074505806,-4.469454858436038e-05,9.100000143051147,-1.747477911899129,-1.7419834064091222,-1.7419883178979005,-1.7024787335484595
2023-07-27,call,put in the money,4590.0,4540.31005859375,4537.41015625,-2.89990234375,49.68994140625,5.614158314300033,0.05000000074505806,0.0,0.05000000074505806,-3.4990258959461014e-08,11.75,-1.6252482162275932,-1.6209928970152478,-1.6209928999931422,-1.6031155065540081
2020-07-13,call,put in the money,3230.0,3179.7099609375,3155.219970703125,-24.489990234375,50.2900390625,4.140103595574427,0.05000000074505806,0.0,0.05000000074505806,-0.0004970926191528485,12.400000095367432,-1.3786732979288872,-1.3746410398352975,-1.3746811279494369,-1.2692532327151003
2023-08-04,call,put in the money,4525.0,4482.60986328125,4478.02978515625,-4.580078125,42.39013671875,4.056831028204336,0.05000000074505806,0.0,0.05000000074505806,-0.00012423500043025391,12.649999856948853,-1.3760367484519185,-1.372084179178363,-1.3720940001271247,-1.3397603668685305
2022-11-08,call,between,3840.0,3837.330078125,3828.110107421875,-9.219970703125,2.669921875,0.19883634869818084,4.300000190734863,0.0,4.300000190734863,-3.8899864367599326,18.950000286102295,-1.3138002133730429,-1.0868872779738579,-1.2921636039912672,-1.2194199026770949
2023-11-30,call,put in the money,4555.0,4544.64013671875,4567.7998046875,23.15966796875,10.35986328125,1.5193177576106642,0.30000001192092896,12.7998046875,-12.499804675579071,1.4961543920766756,11.399999856948853,-0.31939637523922215,-1.4158704833472,-1.2846288683602756,-2.3155274867929365
2022-10-13,put,call in the money,3545.0,3671.820068359375,3669.909912109375,-1.91015625,126.820068359375,7.614719667986946,0.05000000074505806,0.0,0.05000000074505806,8.694867742464751e-15,32.049999713897705,-1.231929457613181,-1.2303693951735117,-1.2303693951735115,-1.206034601984481
2021-11-22,call,put in the money,4740.0,4721.77978515625,4682.93994140625,-38.83984375,18.22021484375,2.7019241753839256,0.05000000074505806,0.0,0.05000000074505806,-0.13427217116831555,7.4999998807907104,-1.2008615279463395,-1.1941948610743678,-1.2120978175147032,-1.2640684824117083
2020-08-26,put,call in the money,3455.0,3479.9599609375,3478.72998046875,-1.22998046875,24.9599609375,3.0170404656677343,0.15000000596046448,0.0,0.15000000596046448,0.001544120507269583,6.899999976158142,-1.1889839055155629,-1.1672447741418288,-1.1670209885602918,-1.000396008854549
