period,unit,book,n,mean,sd,Sharpe_ann,t_hac,t_lag,MaxDD,worst,worst_date
2024-05-01..2025-12-31,premium,book (both legs bought back),413,0.025013936440145924,0.3777715253277775,1.0511219193767458,1.2433378257183407,11,-7.39953983031575,-2.9147504557452226,2025-05-21
2024-05-01..2025-12-31,index points,book (both legs bought back),413,-0.020519035281911926,9.392589989647416,-0.03467942147505811,-0.03807338588651447,11,-292.3031029583105,-65.61108643292323,2025-04-09
2024-05-01..2025-12-31,premium,"ride, futures flat at 15:30",413,0.03232864946423393,0.413351599914097,1.2415614221314757,1.537199618373058,11,-6.255177087991136,-2.9123408171550995,2025-05-21
2024-05-01..2025-12-31,index points,"ride, futures flat at 15:30",413,0.11975151987096394,10.111770999079422,0.18799836788002305,0.23020758835213828,11,-230.61040435672086,-65.56108643217817,2025-04-09
2024-05-01..2025-12-31,premium,"ride, futures held to 16:00",413,0.031690410855537005,0.4003847250946589,1.2564657063186906,1.506348262736411,11,-7.088860647124997,-2.912339239765587,2025-05-21
2024-05-01..2025-12-31,index points,"ride, futures held to 16:00",413,0.13750300612464839,9.850560104375868,0.22159070441162163,0.25901284904513017,11,-259.216882909865,-65.56108643217817,2025-04-09
2024-05-01..2025-12-31,premium,hold to cash settlement,413,0.04935441766091863,0.44877161890587364,1.745825846361192,2.1074460249074303,11,-6.319335687222406,-2.872339775701802,2025-05-21
2024-05-01..2025-12-31,index points,hold to cash settlement,413,0.5284527527552674,10.849046588137846,0.7732409767508924,0.9682932730879267,11,-215.68836455998223,-62.84087158842818,2025-04-09
2024H2 (2024-05-01..2024-12-31),premium,book (both legs bought back),166,0.06366363567410933,0.32161974412918465,3.1423098356347836,2.5010142675633222,8,-2.195237302075422,-1.2281311111310043,2024-12-18
2024H2 (2024-05-01..2024-12-31),index points,book (both legs bought back),166,1.0874009615366544,6.481564502642445,2.663238961950242,2.0830203662061684,8,-50.95844238462291,-31.071717345861828,2024-12-18
2024H2 (2024-05-01..2024-12-31),premium,"ride, futures flat at 15:30",166,0.05654569340677542,0.4010384507802211,2.2382767863027695,1.882845711330066,8,-3.3356335715410994,-1.8446205450738757,2024-07-25
2024H2 (2024-05-01..2024-12-31),index points,"ride, futures flat at 15:30",166,0.7925890996329223,8.449526786753967,1.4890729640220983,1.3177062632130803,8,-73.88177552615454,-52.479455035101935,2024-07-25
2024H2 (2024-05-01..2024-12-31),premium,"ride, futures held to 16:00",166,0.06335501595424634,0.3635268875420125,2.766589580047392,2.226044984660424,8,-2.6097254700146477,-1.2261548265375137,2024-12-18
2024H2 (2024-05-01..2024-12-31),index points,"ride, futures held to 16:00",166,0.9903815188787365,7.353196651790027,2.13809312557119,1.7397940010526591,8,-53.142783725003525,-31.656926689031913,2024-07-25
2024H2 (2024-05-01..2024-12-31),premium,hold to cash settlement,166,0.07282934470057081,0.44646609024198675,2.5895135837224132,2.0878851626520802,8,-4.333931655276378,-2.2661612535539413,2024-07-12
2024H2 (2024-05-01..2024-12-31),index points,hold to cash settlement,166,1.1319713753535925,9.090878306648035,1.9766504287528843,1.6730497039279872,8,-86.21757168477053,-48.00720656939627,2024-07-25
2025,premium,book (both legs bought back),247,-0.0009611650693193753,0.40981338774049986,-0.037231634959346345,-0.03403147395636571,9,-6.231442056013638,-2.9147504557452226,2025-05-21
2025,index points,book (both legs bought back),247,-0.7651130412409481,10.871474031992554,-1.117216759761603,-0.9754204886471779,9,-241.34466057368752,-65.61108643292323,2025-04-09
2025,premium,"ride, futures flat at 15:30",247,0.016053227219448952,0.42144784450277645,0.6046705069205075,0.5569000564193031,9,-4.843161028778464,-2.9123408171550995,2025-05-21
2025,index points,"ride, futures flat at 15:30",247,-0.3324389183496236,11.083642000493088,-0.4761344893853203,-0.4432003519700106,9,-183.01211826605638,-65.56108643217817,2025-04-09
2025,premium,"ride, futures held to 16:00",247,0.010409745080695913,0.42274520082913125,0.39089640721288355,0.3548652137750707,9,-6.270190256151188,-2.912339239765587,2025-05-21
2025,index points,"ride, futures held to 16:00",247,-0.4356866016372085,11.199311981815457,-0.6175656501220496,-0.564546856775266,9,-213.98163726554415,-65.56108643217817,2025-04-09
2025,premium,hold to cash settlement,247,0.033577746047225285,0.4505299762733375,1.1831181538048212,1.066119697158467,9,-6.199624623734404,-2.872339775701802,2025-05-21
2025,index points,hold to cash settlement,247,0.1228491440454613,11.886279788460065,0.16406897180916077,0.1585609265436464,9,-187.56449549877456,-62.84087158842818,2025-04-09
