period,clock,n,implied_rem_mean,implied_rem_rms,realised_rem_rms,implied_over_realised
in sample (scored days 2020-01-03..2024-04-30),11:00,865,0.0069851824986174055,0.008278482111320814,0.008270420232320224,1.000974784687371
in sample (scored days 2020-01-03..2024-04-30),11:30,865,0.0065852970133936164,0.00785659425804974,0.007898779899233458,0.9946592205730643
in sample (scored days 2020-01-03..2024-04-30),12:00,865,0.006177444286462485,0.007405352647937895,0.007396037150170218,1.0012595255511207
in sample (scored days 2020-01-03..2024-04-30),12:30,865,0.0058672568665089405,0.0071143151693632695,0.007052231640208862,1.008803387682338
in sample (scored days 2020-01-03..2024-04-30),13:00,865,0.005547129922496932,0.006752146780456522,0.006674835432334407,1.011582509996816
in sample (scored days 2020-01-03..2024-04-30),13:30,865,0.005223773884402772,0.006401240584110205,0.006352956884576514,1.00760019317161
in sample (scored days 2020-01-03..2024-04-30),14:00,865,0.0048808947922278755,0.006022340496275089,0.005959141515753979,1.0106053834019604
in sample (scored days 2020-01-03..2024-04-30),14:30,865,0.004350424318836793,0.005364216579570631,0.005706360613695956,0.9400416382196145
in sample (scored days 2020-01-03..2024-04-30),15:00,865,0.003754068882430261,0.00468814793007984,0.0049405667665094475,0.9489089312301827
in sample (scored days 2020-01-03..2024-04-30),15:30,865,0.002905885340685014,0.00369606200013108,0.004069017981334106,0.908342508459315
unseen 2024-05-01..2025-12-31,11:00,413,0.005335885981894228,0.006220599219758778,0.007607169593801173,0.8177284787797732
unseen 2024-05-01..2025-12-31,11:30,413,0.005052782180447792,0.005929990819536428,0.007075944156787175,0.8380494091164413
unseen 2024-05-01..2025-12-31,12:00,413,0.004740256967572229,0.00557241845657435,0.006912744544948092,0.8061079677313888
unseen 2024-05-01..2025-12-31,12:30,413,0.0044629466732772904,0.005314238841923272,0.006643955756233108,0.7998606608627178
unseen 2024-05-01..2025-12-31,13:00,413,0.0042228382203844525,0.005033697920338,0.005983363694570088,0.8412822915822564
unseen 2024-05-01..2025-12-31,13:30,413,0.0038790080827872243,0.004739330685422906,0.004369513588477309,1.0846357585248914
unseen 2024-05-01..2025-12-31,14:00,413,0.0034884381993451285,0.004257977353426696,0.003916009947598754,1.0873254691392276
unseen 2024-05-01..2025-12-31,14:30,413,0.0030396136208730323,0.0036751241590358224,0.0032588885079796585,1.1277231945913389
unseen 2024-05-01..2025-12-31,15:00,413,0.0025470067604903127,0.0030692363751051973,0.0031005145900213694,0.9899119278403535
unseen 2024-05-01..2025-12-31,15:30,413,0.0020523433416289785,0.0024445149887522733,0.002494198577437806,0.9800803395788275
unseen 2024H2,11:00,166,0.004775490071722409,0.005151867842429939,0.005364243448243686,0.9604090291831775
unseen 2024H2,11:30,166,0.004489799804727455,0.0048640429249891355,0.005041031968968216,0.9648903151044078
unseen 2024H2,12:00,166,0.004223199141123961,0.004588960784086275,0.004829467127996717,0.9502002317157907
unseen 2024H2,12:30,166,0.0039886898132118495,0.004338047430209431,0.004899722417063044,0.8853659576922954
unseen 2024H2,13:00,166,0.0037878940960433412,0.004141760077918168,0.004468362601813996,0.9269077841258363
unseen 2024H2,13:30,166,0.0034753232250953033,0.003819486617607155,0.004070439428333253,0.9383474892221018
unseen 2024H2,14:00,166,0.0031549203463437235,0.003523346868291981,0.003854977147164495,0.9139734773482528
unseen 2024H2,14:30,166,0.002737547178923631,0.0030288584903467694,0.003292183608653754,0.9200150569929288
unseen 2024H2,15:00,166,0.0022460358782970037,0.002475395571194595,0.002795028674234282,0.8856422812451996
unseen 2024H2,15:30,166,0.0018411618068093277,0.002022592298529017,0.002393256894103611,0.8451212669697854
unseen 2025,11:00,247,0.005712508334479336,0.006845743603718391,0.008798978865432768,0.7780156889127487
unseen 2025,11:30,247,0.005431142805425834,0.006549617252108826,0.00816333725229665,0.8023210422019714
unseen 2025,12:00,247,0.005087753320569851,0.006145566144717453,0.008014129825760993,0.7668413512547374
unseen 2025,12:30,247,0.0047816780043334174,0.005879936283213789,0.007594345520791654,0.7742518782054111
unseen 2025,13:00,247,0.004515148846459854,0.005553219909575366,0.006814863754542436,0.8148688087672885
unseen 2025,13:30,247,0.004150310456782605,0.005268042490793274,0.004559501727055526,1.1553987269120558
unseen 2025,14:00,247,0.003712583800957408,0.004687447160578145,0.00395649898557545,1.1847462055892282
unseen 2025,14:30,247,0.0032426218369199975,0.004051949457878665,0.0032363195879435247,1.2520238955922833
unseen 2025,15:00,247,0.0027492786894137517,0.0034107289096667005,0.0032899214334581586,1.036720474531684
unseen 2025,15:30,247,0.0021942710128033194,0.002691160288405802,0.002559802403645471,1.0513156345869747
