asof,corr_to_reference
2013-10-14,0.384763800135059
2014-01-08,0.3489002528693487
2014-04-04,0.4530691474628629
2014-07-01,0.46565845991431837
2014-09-25,0.5066317376625111
2014-12-22,0.655989509280534
2015-03-18,0.6369410016538193
2015-06-12,0.6450692739464037
2015-09-08,0.7047131456763621
2015-12-03,0.7114442258560757
2016-02-29,0.7091425738525711
2016-05-25,0.7015741335859884
2016-08-19,0.6849715558929413
2016-11-15,0.5982411332456812
2017-02-09,0.5757532130488787
2017-05-08,0.565066383186356
2017-08-02,0.08237038417561407
2017-10-27,0.048588210029542625
2018-01-23,0.05037257361778214
2018-04-19,0.34750096471327174
2018-07-16,0.394765452461365
2018-10-10,0.4554593568609241
2019-01-04,0.5933222570809082
2019-04-01,0.6050094236767332
2019-06-26,0.6136902148677262
2019-09-22,0.6158527666567405
2019-12-17,0.6126217027321074
2020-03-12,0.8163899899707927
2020-06-08,0.8083671259764625
2020-09-02,0.8161007139660421
2020-11-27,0.8044910384128009
2021-02-23,0.7875040936529363
2021-05-20,0.7809582324564313
2021-08-16,0.7669509498941738
2021-11-10,0.7630418058279874
2022-02-04,0.6790898053723363
2022-05-03,0.6994317963079177
2022-07-28,0.681498516642422
2022-10-24,0.5615681250387322
2023-01-18,0.5941414134432502
2023-04-14,0.5400524713810924
2023-07-11,0.4398889116390355
2023-10-05,0.4254198587632779
2024-01-01,0.10944432612855301
2024-03-27,-0.0798874246943386
