arm,design,refit_every,resid_r2,qlike,dqlike_vs_r48,dm_t_vs_r48,dm_t_vs_r48_2020plus
aug_r1008,aug,1008,0.009205641875790649,0.1307521848325599,0.003755020230818612,-5.39230131925883,-2.588175450204
aug_r48,aug,48,0.042837558972749545,0.1269971646017413,0.0,0.0,0.0
aug_r24,aug,24,0.045233314163385385,0.1265997143639992,-0.0003974502377420974,4.938570445933473,3.803649787390003
aug_r8,aug,8,0.04800353122201062,0.12635171263660752,-0.0006454519651337698,5.605698422989672,2.309087800223618
aug_r1,aug,1,0.05123640368880267,0.1261864581095772,-0.0008107064921640816,4.904267972068438,1.0174500075383124
dense_r48,dense,48,0.03440538162754092,0.1278461217624691,0.0,0.0,0.0
dense_r1,dense,1,0.04111924104219555,0.12712322714868507,-0.0007228946137840253,3.437340189082941,0.8420837879648226
joint_r48,joint,48,0.04382751480374114,0.12711204748125937,0.00011488287951808007,-0.5064929304670948,0.9831753660177583
