asof,adjacency_sim,kind
2009-12-25,0.6287875692331197,map
2010-03-23,0.632792900643375,map
2010-06-17,0.6284631788350116,map
2010-09-13,0.6506516773855482,map
2010-12-08,0.7129863999960133,map
2011-03-04,0.7553158352276004,map
2011-05-31,0.7623032257909912,map
2011-08-25,0.6889733296576843,map
2011-11-20,0.7188072128491256,map
2012-02-14,0.7709708426144056,map
2012-05-10,0.8318033498443802,map
2012-08-06,0.8995184420339914,map
2012-10-31,0.7992692234548112,map
2013-01-27,0.7065814998880091,map
2013-04-23,0.5961869906479657,map
2013-07-18,0.5033823127535756,map
2013-10-14,0.5464339516808034,map
2014-01-08,0.5714419300799667,map
2014-04-04,0.6516719348336077,map
2014-07-01,0.715293328438984,map
2014-09-25,0.7673364250836426,map
2014-12-22,0.7376968831056763,map
2015-03-18,0.696888535654244,map
2015-06-12,0.6360933357966478,map
2015-09-08,0.5829044901298183,map
2015-12-03,0.6969723491130952,map
2016-02-29,0.7503232702275232,map
2016-05-25,0.8092471004294866,map
2016-08-19,0.8643881991480151,map
2016-11-15,0.6208401999424276,map
2017-02-09,0.45987992818436685,map
2017-05-08,0.3367559495881286,map
2017-08-02,0.3059694166646204,map
2017-10-27,0.5394737276765279,map
2018-01-23,0.6326064088119971,map
2018-04-19,0.6365844530819283,map
2018-07-16,0.6697098137310344,map
2018-10-10,0.7055210465804767,map
2019-01-04,0.7876555490798537,map
2019-04-01,0.9160415264222588,map
2019-06-26,0.8393971700342115,map
2019-09-22,0.770126674955913,map
2019-12-17,0.7054989473199473,map
2020-03-12,0.6088113320824052,map
2020-06-08,0.6591360988563795,map
2020-09-02,0.7363415139999809,map
2020-11-27,0.8093603795317423,map
2021-02-23,0.9061909826104967,map
2021-05-20,0.9314766772897914,map
2021-08-16,0.89561815458211,map
2021-11-10,0.850121238387319,map
2022-02-04,0.763792879723264,map
2022-05-03,0.6981799372842883,map
2022-07-28,0.6926178081230339,map
2022-10-24,0.680992667320838,map
2023-01-18,0.6927249865826404,map
2023-04-14,0.6213168733120331,map
2009-12-25,0.8163536977205459,flow
2010-03-23,0.8159616849654519,flow
2010-06-17,0.8206228488805195,flow
2010-09-13,0.8314506998262928,flow
2010-12-08,0.8607350254034308,flow
2011-03-04,0.8833201866165772,flow
2011-05-31,0.8766326660287571,flow
2011-08-25,0.8498438456943191,flow
2011-11-20,0.826003225332235,flow
2012-02-14,0.79657706096865,flow
2012-05-10,0.7835413356374227,flow
2012-08-06,0.7903650022717803,flow
2012-10-31,0.7904957213108116,flow
2013-01-27,0.8033200736129666,flow
2013-04-23,0.8012251850135346,flow
2013-07-18,0.8055323592732704,flow
2013-10-14,0.8322028379706969,flow
2014-01-08,0.8553920909311851,flow
2014-04-04,0.8619430401076374,flow
2014-07-01,0.8613754784045193,flow
2014-09-25,0.8451359915148569,flow
2014-12-22,0.8229789793062049,flow
2015-03-18,0.8133913840679365,flow
2015-06-12,0.8258656756512339,flow
2015-09-08,0.8467673619698852,flow
2015-12-03,0.872965213131659,flow
2016-02-29,0.8671557199744331,flow
2016-05-25,0.8630463946237645,flow
2016-08-19,0.8549601187308888,flow
2016-11-15,0.8336601664680038,flow
2017-02-09,0.8439721423700739,flow
2017-05-08,0.8423198110857772,flow
2017-08-02,0.8516488979966669,flow
2017-10-27,0.8639192969287279,flow
2018-01-23,0.8576620219363903,flow
2018-04-19,0.8511155151407881,flow
2018-07-16,0.8677029985141362,flow
2018-10-10,0.8879675843672039,flow
2019-01-04,0.9106820384491092,flow
2019-04-01,0.932459987019816,flow
2019-06-26,0.9205993828871448,flow
2019-09-22,0.9115657872539378,flow
2019-12-17,0.9095056359612377,flow
2020-03-12,0.8892734314679129,flow
2020-06-08,0.8881123265905253,flow
2020-09-02,0.8886712488612019,flow
2020-11-27,0.8821730429037727,flow
2021-02-23,0.8885594232607779,flow
2021-05-20,0.8890678713697675,flow
2021-08-16,0.8829681668736862,flow
2021-11-10,0.8793415106951079,flow
2022-02-04,0.8627216895217262,flow
2022-05-03,0.856391779150959,flow
2022-07-28,0.856750812915452,flow
2022-10-24,0.8454558863341617,flow
2023-01-18,0.8429314062689474,flow
2023-04-14,0.82396648287823,flow
