feature,modulator_ic
adj_voldemand_all_open_and_close_ma_625,0.19672976523258864
adj_spread_vwstock_ma_625,0.1824306219873673
adj_spread_ewstock_ma_625,0.16871969590671754
adj_sumvolume_ma_625,0.15924001244223795
adj_voldemand_spx_open_only_ma_625,0.14448209584570934
adj_sumret_ma_625,0.13851177801853035
adj_effspread_ewstock_ma_625,0.13513164991633234
adj_voldemand_spx_open_and_close_ma_625,0.12314689925648369
adj_stocktwits_sentiment_ma_625,0.110889155007881
adj_spread_ewstock_ma_25,0.10692611843066767
adj_numobs_ma_625,0.10553072845884158
adj_spread_vwstock_ma_25,0.09312156071030202
adj_sumbipow_ewstock_ma_625,0.09016372893334583
adj_voldemand_all_open_only_ma_625,0.0883050875505922
adj_vix3m_ma_625,0.08751423315335398
adj_vix_ma_1,0.08571038418206586
adj_vix_ma_25,0.08559575587750633
adj_effspread_vwstock_ma_625,0.07398255249010324
adj_voldemand_all_open_and_close_ma_25,0.07321156377968241
adj_turnover_vwstock_ma_625,0.07300970592369367
adj_vix_ma_625,0.07041826580269746
adj_buyturnover_vwstock_ma_625,0.06952780572174978
adj_sumret4_ma_625,0.06746063760516903
adj_vix3m_ma_25,0.06271818918004611
adj_buyturnover_ewstock_ma_625,0.06213307412475367
adj_stocktwits_sentiment_ma_25,0.062003996417637666
adj_spread_ewstock_ma_1,0.061718919451198756
adj_vix3m_ma_1,0.060885000920395206
adj_effspread_ewstock_ma_25,0.060718857120438605
adj_turnover_ewstock_ma_625,0.05939513426931683
adj_sumbipow_ma_625,0.055492658649941275
adj_sumbipow_vwstock_ma_625,0.05478807370973834
adj_sellturnover_vwstock_ma_625,0.053154801996944376
adj_sumret3_ma_625,0.05247334867433433
adj_stocktwits_sentiment_ma_1,0.05142261222057933
adj_effspread_vwstock_ma_25,0.051170704310426
adj_sellturnover_ewstock_ma_625,0.050502510108799206
adj_sumpret2_ma_625,0.04559104650405223
adj_voldemand_spx_open_only_ma_25,0.04455889745239705
adj_voldemand_all_open_only_ma_1,0.04416771234323997
adj_spread_vwstock_ma_1,0.04415460866363557
adj_vvix_ma_25,0.04321392135334046
adj_sumautocov_ma_25,0.04081167460301548
adj_sumpret2_ewstock_ma_625,0.04039372085146078
adj_vvix_ma_1,0.04028034956675288
adj_sumautocov_ma_625,0.03895701291587438
adj_vvix_ma_625,0.03820414417568968
adj_sumvolume_ma_25,0.03690834066890968
adj_voldemand_spx_open_only_ma_1,0.03672033237483624
adj_sumpret2_vwstock_ma_625,0.03220083815706043
adj_voldemand_spx_open_and_close_ma_25,0.0315163457006332
adj_effspread_vwstock_ma_1,0.029501597711362324
adj_sumret3_ewstock_ma_625,0.02886670752915998
adj_voldemand_all_open_and_close_ma_1,0.028656981112249454
adj_effspread_ewstock_ma_1,0.026585799410854243
adj_sumbipow_ewstock_ma_25,0.02545522997021711
adj_sumvolume_ma_1,0.024953936011899654
har_ma_625,0.023919893177774102
adj_sumret4_ma_25,0.023890184646460116
adj_buyturnover_vwstock_ma_25,0.02355862554738475
har_ma_125,0.023149383385143572
adj_sumret2_ewstock_ma_625,0.022731221207809352
adj_sumret3_vwstock_ma_625,0.022495543566610408
adj_stocktwits_sentcount_ma_25,0.021464698809213274
adj_sumbipow_vwstock_ma_25,0.021424321671912695
adj_sumabsret_ma_625,0.021330027358957202
adj_buyturnover_ewstock_ma_25,0.020215622311729478
adj_voldemand_spx_open_and_close_ma_1,0.019838323996806437
adj_stocktwits_sentcount_ma_1,0.0198333218931759
adj_sumbipow_ewstock_ma_1,0.019680472628600044
adj_sumbipow_ma_25,0.019363094350142752
adj_sumbipow_ma_1,0.019197550582430188
adj_turnover_vwstock_ma_25,0.018529159351568
adj_sumret2_ewstock_ma_25,0.018269979419631044
adj_sumret2_vwstock_ma_625,0.018132523054838718
adj_sumpret2_ma_1,0.01754745969454909
adj_voldemand_all_open_only_ma_25,0.017136599320164057
adj_stocktwits_attention_ma_1,0.016801160790682678
adj_sumret4_ma_1,0.01678088767232117
adj_sumpret2_ma_25,0.016661034054642553
adj_sumret_ma_25,0.016456962689268363
adj_sumbipow_vwstock_ma_1,0.015325399804139186
adj_sumret2_ewstock_ma_1,0.015179765476988771
