arm,n_cols,dr2,dm_vs_base,dm_vs_ic
ic100,100,0.006899169380976566,2.790472807762728,0.0
pc6,21,0.0028335104375932785,2.2625923187596295,-2.370853418991309
pc10,55,0.001422347912459876,1.265768170840893,-2.4484230750075375
pc15,120,0.005329905978135985,3.4995264650927496,-0.8555395411013675
