pc,net_lead,signal_energy
0,0.31594215029469397,4.87
1,-0.13686845457387783,9.47
2,-0.11292110174357319,1.77
3,-0.03665781037870691,14.32
4,0.008241971186244694,1.2
5,0.20674389864937642,4.42
6,0.006618931937399389,0.82
7,0.06295762527203574,1.29
8,0.0855076636532228,3.83
9,-0.09585742925163343,10.56
10,-0.09121954746448668,4.37
11,-0.15716170051404763,10.13
12,-0.019729251899574113,1.31
13,-0.008648918251384544,0.93
14,0.019578775239746785,8.11
15,0.02017302879398763,2.88
16,0.021440365495461938,10.88
17,0.09640279284057285,2.48
18,-0.04448250276976069,0.54
19,-0.14006048651569722,8.57
