tag,trace,n_positive_eig,n_negative_eig,eig1_share,eig2_share,eff_rank,radial_share,K,trace_observed,trace_noise,null_signal_trace
signal,0.42505726232274865,4,3,0.7998280024091582,0.16510518009763464,1.4975019071716449,0.18410908331982023,5,0.46347346679892243,0.03841620447617378,0.0502205491089098
signal,0.43882092005080664,4,3,0.7564664222793194,0.18101352960259257,1.6442350675391944,0.13810086930362148,10,0.4961087711029979,0.057287851052191294,0.043802407041502144
signal,0.3160531953105118,5,2,0.6149038310688669,0.24912511004967472,2.217503572877912,0.16894079789692817,20,0.3896007030505011,0.0735475077399893,0.031404400281416285
