column,variant,p99.9,max,max_2011_2016,max_2021_2023
voldemand_spx_open_and_close,status_quo,72.27408208125672,72.27408208125672,11.411702311816217,72.27408208125672
voldemand_spx_open_and_close,asinh_diurnal,22.650724007302838,26.55909270042895,26.55909270042895,22.906617028186826
voldemand_spx_open_and_close,asinh_only,2.5813680269938146,2.8679295171082697,1.963519620977976,2.8679295171082697
voldemand_spx_open_and_close,asinh_fast,2.177983089868517,2.7142225880555104,2.019120772283885,2.7142225880555104
voldemand_spx_open_and_close,rank_gauss,3.2679399892353227,3.9346058615607573,3.9346058615607573,3.9346058615607573
voldemand_spx_open_only,status_quo,487.2634739995249,487.2634739995249,6.234965989558038,487.2634739995249
voldemand_spx_open_only,asinh_diurnal,26.187015555219467,44.98790794379702,27.087164101295983,44.98790794379702
voldemand_spx_open_only,asinh_only,3.299182524776822,3.714754159604187,1.987712562819958,3.714754159604187
voldemand_spx_open_only,asinh_fast,2.95754348083016,3.4557901843519643,1.8059797515480778,3.4557901843519643
voldemand_spx_open_only,rank_gauss,3.3706171843236503,3.9346058615607573,3.9346058615607573,3.9346058615607573
voldemand_all_open_and_close,status_quo,60.715605655748746,60.715605655748746,10.25181948902085,60.715605655748746
voldemand_all_open_and_close,asinh_diurnal,21.985365642218063,24.734788473240425,24.734788473240425,22.194839485388822
voldemand_all_open_and_close,asinh_only,2.564246436810787,2.950004028470073,1.8020792967581314,2.950004028470073
voldemand_all_open_and_close,asinh_fast,2.298816510645058,2.8453837926879904,1.826915034369817,2.8453837926879904
voldemand_all_open_and_close,rank_gauss,3.2679399892353227,3.9346058615607573,3.9346058615607573,3.9346058615607573
voldemand_all_open_only,status_quo,408.32337930888093,408.32337930888093,10.515952666818162,408.32337930888093
voldemand_all_open_only,asinh_diurnal,28.72217293679292,45.478225143419344,31.394314759149232,45.478225143419344
voldemand_all_open_only,asinh_only,3.1714785344559786,3.4542877789892605,2.0868233415342283,3.4542877789892605
voldemand_all_open_only,asinh_fast,2.813549652974717,3.3023531337550533,1.890987492037836,3.3023531337550533
voldemand_all_open_only,rank_gauss,3.3706171843236503,3.9346058615607573,3.9346058615607573,3.9346058615607573
