block,selected,expected_by_chance,selector_null_mean,selector_null_sd,z_vs_selector_null
liquidity x liquidity,53,7.473908652227585,12.833333333333334,11.219806503278676,3.579978554436663
liquidity x market_ew,12,7.271911121086299,8.833333333333334,7.539269176130066,0.42002302778797024
liquidity x market_vw,9,7.271911121086299,7.916666666666667,5.732566514274361,0.18897876381124962
market_ew x market_vw,6,3.6359555605431493,5.208333333333333,5.890147755337734,0.13440523048836042
market_ew x moments,6,4.241948153967007,5.0,4.718142596956708,0.21194781197266463
market_ew x market_ew,4,1.9189765458422177,2.75,3.991839501870742,0.3131388422340623
market_vw x moments,3,4.241948153967007,6.541666666666667,5.999849031917145,-0.5902926303355653
liquidity x moments,2,8.483896307934014,11.875,6.822676384196913,-1.4473792165891175
har x implied_vol,2,0.6059925934238581,0.75,1.5393392145304765,0.8120367416101137
market_vw x market_vw,1,1.9189765458422177,2.8333333333333335,3.045547950507524,-0.6019715870925029
har x market_ew,1,1.2119851868477163,2.375,2.8561527787659005,-0.481416824135758
har x market_vw,1,1.2119851868477163,3.2916666666666665,3.804792934623686,-0.6023104820797099
