eig_index,eigenvalue,leading_eigvec,feature
0,-0.0023650337820569738,0.0,har_ma_1
1,-0.0014885420486347514,0.0,har_ma_5
2,-0.001454572000574687,0.0,har_ma_25
3,-0.0014352873570417143,0.0,har_ma_125
4,-0.0011291602282130753,0.0040004721728053305,har_ma_625
5,-0.0009892771289491593,0.0025666509018938653,har_ma_3125
6,-0.0008949167861545526,3.469446951953614e-17,adj_sumret_ma_1
7,-0.0008234363637189948,-5.551115123125783e-17,adj_sumret_ma_25
8,-0.0006832012979169303,-0.013173661401458314,adj_sumret_ma_625
9,-0.0005638761469318538,-1.1102230246251565e-16,adj_sumabsret_ma_1
10,-0.0004607271387280531,5.551115123125783e-17,adj_sumabsret_ma_25
11,-0.0002925251661337311,0.0006814427444747917,adj_sumabsret_ma_625
12,-0.0001508471414296335,0.0,adj_sumret3_ma_1
13,-0.00012348554019064702,2.7755575615628914e-17,adj_sumret3_ma_25
14,-9.565219497100361e-05,-0.0007188058892188473,adj_sumret3_ma_625
15,-6.930614680267389e-05,0.0,adj_sumret4_ma_1
16,-2.3521588364088218e-05,-8.673617379884035e-19,adj_sumret4_ma_25
17,-2.2907170575466674e-05,-4.4885969940899884e-17,adj_sumret4_ma_625
18,-6.813104519905953e-19,1.0842021724855044e-19,adj_sumpret2_ma_1
19,-5.839099363884794e-19,6.776263578034403e-20,adj_sumpret2_ma_25
20,-3.5277036872700257e-19,0.004323386585405839,adj_sumpret2_ma_625
21,-3.4131176172095456e-19,-1.3129010682441655e-20,adj_sumbipow_ma_1
22,-3.0004747435146173e-19,-4.6375053862172944e-20,adj_sumbipow_ma_25
23,-2.83665561577246e-19,-1.205367588612272e-20,adj_sumbipow_ma_625
24,-2.447988455838828e-19,5.966040168038712e-22,adj_sumautocov_ma_1
25,-2.3621831900171494e-19,-2.9859927643457185e-21,adj_sumautocov_ma_25
26,-1.871045768530156e-19,-0.3977713664175604,adj_sumautocov_ma_625
27,-1.5610732982798154e-19,0.0,adj_sumvolume_ma_1
28,-1.3923721310134637e-19,0.0,adj_sumvolume_ma_25
29,-1.2322036366547934e-19,0.0,adj_sumvolume_ma_625
30,-1.1106879132714923e-19,0.0,adj_numobs_ma_1
31,-8.67768539935579e-20,0.0,adj_numobs_ma_25
32,-7.72453051870172e-20,0.18033584031048464,adj_numobs_ma_625
33,-6.630777639171998e-20,0.0,adj_sumret2_ewstock_ma_1
34,-6.425544769760523e-20,0.0,adj_sumret2_ewstock_ma_25
35,-5.1962268077131715e-20,0.34119071785392263,adj_sumret2_ewstock_ma_625
