arm,k,corr,r2,dr2_vs_base,dm_t_vs_base,dm_t_dyn_vs_stat,churn
base,0,0.1578561231466119,0.02148355196286178,0.0,0.0,,
dynamic,10,0.16718159518538503,0.02411500600003047,0.00263145403716869,2.7665220594222673,-1.6502020251741085,0.30783410138248846
static,10,0.16984746896966754,0.02571236558090484,0.004228813618043059,7.3750960318607675,,0.0
dynamic,25,0.17257567755430972,0.02608931782335111,0.00460576586048933,4.011491217298263,-0.4165810960568054,0.29124423963133644
static,25,0.17295023253264988,0.02657625839893296,0.0050927064360711816,6.579762789266523,,0.0
dynamic,50,0.17254957498275347,0.02523070778951697,0.0037471558266551908,2.954870398181441,-1.934400933752013,0.2735483870967742
static,50,0.17653523993305414,0.027710121531403842,0.006226569568542062,6.6960529070515,,0.0
dynamic,100,0.1746755592340423,0.02492329072288746,0.003439738760025679,1.9120746935759612,-3.211736506629949,0.259815668202765
static,100,0.18508435219112374,0.03049291234407081,0.00900936038120903,8.148267694009993,,0.0
dynamic,200,0.17556715709957552,0.023651234777975705,0.002167682815113925,1.248779397555168,-2.097164971973388,0.25608294930875575
static,200,0.18394175378158803,0.027612730184654377,0.006129178221792597,3.952454922783443,,0.0
dynamic,400,0.1694059066762801,0.015903826729240178,-0.005579725233621602,-2.499576860542893,-3.1564108558617185,0.24200460829493087
static,400,0.18362396832062902,0.023379426176625584,0.001895874213763804,0.9278938200130713,,0.0
