claim,mean_dQLIKE_1e4,dm_t,rw_adj_p
trans_h1_perbar,3.3206005918726045,8.450759195202876,0.0
trans_h16_f20,1.240944434017904,5.850998716215819,0.0
trans_h4_f20,2.301201029779291,5.00029554717076,0.0
width_perbar,1.725457091187543,4.602013604525474,0.0
union_span,4.540485573328999,3.117288020984902,0.006
calendar_smear,0.7937670964115034,2.6461067604948694,0.0075
quad40,1.4955611736577477,2.0755253085155094,0.025
