state,n_state_cols,shrink,dr2_holdout,dm_t_vs_pooled,n_holdout
vol (har_ma_25),1,0.0,0.0,0.0,55144
vol (har_ma_25),1,0.15,0.0004709117614711822,2.2893247867938107,55144
vol (har_ma_25),1,0.3,0.0008072628335278331,2.0185135806311147,55144
vol (har_ma_25),1,0.5,0.0010464143016244432,1.6266152347007423,55144
vol (har_ma_25),1,0.75,0.001008951913208711,1.0879385159988866,55144
vol (har_ma_25),1,1.0,0.0005977098319748242,0.4995947256110027,55144
clock (2 harmonics),4,0.0,0.0,0.0,55144
clock (2 harmonics),4,0.15,0.00029280547259047385,2.818716896964334,55144
clock (2 harmonics),4,0.3,0.000443886113402403,2.146200614702619,55144
clock (2 harmonics),4,0.5,0.00042486611838210564,1.2350350352651311,55144
clock (2 harmonics),4,0.75,4.67790451587069e-05,0.09029773337531066,55144
clock (2 harmonics),4,1.0,-0.0007249881163419181,-1.0381550223089284,55144
both,5,0.0,0.0,0.0,55144
both,5,0.15,0.0007459545651266053,3.088838129483528,55144
both,5,0.3,0.0012125968004073062,2.5818531959460764,55144
both,5,0.5,0.0014003006010204766,1.8508988613434385,55144
both,5,0.75,0.0009366495271723174,0.8555455132717189,55144
both,5,1.0,-0.0003028691295814401,-0.21309518016639517,55144
