K,n,r2_M0,r2_A,r2_B,r2_AB,dr2_A,dr2_B,dr2_AB,sum_dr2,ratio,dm_t_A_vs_M0,dm_t_B_vs_M0,dm_t_AB_vs_M0,better_single_arm,dm_t_AB_vs_best,n_2020plus,dr2_A_2020plus,dr2_B_2020plus,dr2_AB_2020plus,dm_t_AB_vs_best_2020plus
2,215461,0.029719054584665172,0.031557072373839645,0.02015051551990943,0.02735783935421432,0.0018380177891744731,-0.009568539064755743,-0.0023612152304508527,-0.00773052127558127,0.3054406224725524,4.60517766880655,-0.7001191766403001,-0.28421150501863895,A,-0.5208925686633421,55144,0.002275530740036724,0.001355432575919635,0.004286689163116697,2.4851461708206166
3,215068,0.02974574578446687,0.03189952581824185,0.020157009916413338,0.025585444438569027,0.002153780033774977,-0.009588735868053533,-0.004160301345897843,-0.007434955834278556,0.5595596582722047,4.3104864458812155,-0.700449647334845,-0.4089739318113573,A,-0.6381020077729389,55144,0.0029245780506699237,0.001355432575919635,0.004778746072205298,2.774984034089061
5,214683,0.02981328996914645,0.03194521265830086,0.020188395346063648,0.02780252833658947,0.0021319226891544085,-0.009624894623082803,-0.002010761632556979,-0.007492971933928394,0.2683530180397703,3.9199353071378593,-0.7013756417738243,-0.26699983693774954,A,-0.5633476477345783,55144,0.003203924055626639,0.001355432575919635,0.004816712416749747,2.777128773281734
