K,n,first,second,r2,dr2_vs_M0,dm_t_vs_M0,dm_t_vs_plain_combination
3,215068,M0,lin,0.03243802911987792,0.00269228333541105,2.3346894460510503,0.0
3,215068,M0,f_B,0.037672896929495825,0.007927151145028954,8.22572555628597,5.363420899767566
3,215068,f_A,lin,0.03362806744443203,0.00388232165996516,3.146559350134783,5.32466862637154
3,215068,f_A,f_B,0.03849539636900856,0.00874965058454169,8.0868089874312,6.686603779866696
