k,corr,r2,dm_t_vs_dense,churn
5,0.12971756812501756,0.016369467939245874,-7.2382684758223,0.023284367463275592
10,0.14273405975643538,0.019867095552454805,-6.082361758798859,0.02008331506248629
25,0.1614383454914948,0.025684699089365992,-4.059327286993067,0.019636044727033553
50,0.1733191247858902,0.029641939156550223,-2.3893500680245325,0.020219250164437635
100,0.18433288098904554,0.0335304289109305,-0.5693614367712846,0.01826573119929841
246,0.18921138067222715,0.034556848084289826,0.0,0.0
