axis,K,corr,corr_pooled,r2,r2_pooled,dr2,corr_blend,dr2_blend,concentration,power_ratio,n
time-of-day,2,0.16840927598102648,0.17246796591338442,0.02829947633430563,0.029376592715505745,-0.001077116381200116,0.17243614804794535,0.00026853884258315475,1.0045513543637916,0.7103250747207676,216054
time-of-day,4,0.15904419075129891,0.17246796591338442,0.025294770496195218,0.029376592715505745,-0.004081822219310527,0.17122906934130266,-5.441579822773601e-05,1.021127022451859,0.5105635112259295,216054
time-of-day,6,0.15169281155813552,0.17245748345406683,0.022993963575996035,0.029372498779043577,-0.006378535203047542,0.17095778281493706,-0.0002153141431920913,1.0244126475768025,0.41821471210278943,216051
time-of-day,8,0.14297997151099642,0.1724556098813122,0.020430997684356633,0.02937168313857208,-0.008940685454215447,0.17025526637732713,-0.0005233182824430083,1.0201403625753294,0.3606740840695593,216051
time-of-day,12,0.1308798680413047,0.17246906517527244,0.017002250157703847,0.029376934124262233,-0.012374683966558386,0.16962285608779434,-0.0009040499221435461,1.0284588640749068,0.2968905010120521,216050
time-of-day,16,0.12091903916384486,0.17245632094940028,0.014105481546854537,0.029371968037611884,-0.015266486490757347,0.16899985904455667,-0.0012005969186404952,1.036168236847563,0.2590420592118908,216051
time-of-day,24,0.10760626076185721,0.17245611703024932,0.00971873156665326,0.029371843123671804,-0.019653111557018543,0.1681566006907765,-0.001558672219194146,1.0474304320552208,0.21380584163318467,216050
time-of-day,48,0.08451353734510522,0.17245611703024932,-0.0014694127336694063,0.029371843123671804,-0.03084125585734121,0.1620146153782057,-0.0033070077684274057,1.0523590969245487,0.15189495197338493,216050
day-of-week,5,0.1565560435035975,0.17246716465021908,0.024479302909481637,0.029376056080162805,-0.004896753170681167,0.1696954854531168,-0.0005818381585750432,0.9744512154636759,0.4357878317068147,216033
vol regime,2,0.17519603248475438,0.17245123958417638,0.03057935106173726,0.029363523475608333,0.0012158275861289258,0.17740987907141248,0.002054758643923238,0.9892926172014138,0.699535518200907,215461
vol regime,3,0.17373441583276578,0.17253117954561106,0.03010628246699143,0.029389631506356206,0.0007166509606352234,0.17832323595296862,0.0024007206752435506,0.9687518185576489,0.5593091232221982,215068
vol regime,5,0.16896828501043468,0.17272047508303617,0.028501831817890455,0.029456303573289877,-0.000954471755399422,0.17841592308810508,0.0023768795275732613,0.9524499080475488,0.4259485479115486,214683
vol regime,10,0.15466800108999146,0.17272317247620314,0.02363237677496033,0.029455285835807477,-0.005822909060847148,0.1754366087013572,0.0013007393756054864,0.9544241252173524,0.30181540895005815,214510
