f,rule,pre,post,attenuation
sumret,5 identity,1.6223573411658736,0.9780341504820377,0.6028475513164033
sumabsret,5 identity,1.158130322484569,0.8321836366822448,0.7185578518460153
sumret3,3 cbrt,2.338025072581904,0.9279190540329981,0.39688156680385295
sumret4,4 4th-root,3.8114986876468615,1.2041813517931927,0.315933823011921
sumpret2,1 sqrt,1.7945293817511208,1.0575956575430188,0.5893442973393981
sumbipow,1 sqrt,1.901784046847443,0.8934363486331864,0.46978853887970173
sumautocov,2 sign*sqrt,1.124652377055464,1.161743509117986,1.0329800859529885
sumvolume,6 log,1.5796988374268328,0.6031360932403946,0.3818044800380061
numobs,6 log,,0.0119885066833968,
sumret2_ewstock,1 sqrt,0.6788434617122646,0.8128726102764156,1.1974374890878166
sumret3_ewstock,3 cbrt,0.07945535741282135,0.7029509768177732,8.84711868031118
sumret4_ewstock,4 4th-root,0.8467057424371709,0.82716941229925,0.9769266592173012
sumabsret_ewstock,5 identity,0.7192211052355383,0.6999568433956536,0.9732151049244087
sumbipow_ewstock,1 sqrt,0.819606476443661,0.7536802488584148,0.9195635594885664
sumpret2_ewstock,1 sqrt,0.2796160523293893,1.0538096751929897,3.7687738826653483
turnover_ewstock,1 sqrt,0.861937595149551,0.755853702129468,0.8769239285801463
buyturnover_ewstock,1 sqrt,0.6970684751969825,0.7426292615688833,1.065360560680966
sellturnover_ewstock,1 sqrt,0.7349029214772023,0.733413865308156,0.9979738056204034
effspread_ewstock,1 sqrt,0.5455058518995413,0.40684720672762414,0.7458163928231295
spread_ewstock,6 log,0.14312498541627638,0.34064651419181646,2.3800632237694375
sumret2_vwstock,1 sqrt,0.8900694638093695,0.8191494711941109,0.9203208339361164
sumret3_vwstock,3 cbrt,0.10774996233407762,0.7268046536019078,6.7452891663057635
sumret4_vwstock,4 4th-root,1.0367339992333047,0.8608759961679133,0.8303730723643253
sumabsret_vwstock,5 identity,0.8722936386776226,0.7503547389585759,0.8602088857326722
sumbipow_vwstock,1 sqrt,1.136480971270362,0.6975192125644952,0.6137535341087198
sumpret2_vwstock,1 sqrt,0.4605745802414567,1.0990554018521865,2.386270213340922
turnover_vwstock,1 sqrt,1.9092320023059217,0.7619554675545722,0.39909003548772587
buyturnover_vwstock,1 sqrt,1.539033286355459,0.7697553543750472,0.5001551046357697
sellturnover_vwstock,1 sqrt,1.5500657923820456,0.770727089991981,0.49722217842610095
effspread_vwstock,1 sqrt,0.2816025330082077,0.40423936936502514,1.435496211794526
spread_vwstock,5 identity,0.12113779185728134,1.3723018072624082,11.328436701893885
stocktwits_attention,6 log,33.370327102803735,0.52805131178164,0.015823977695959526
stocktwits_sentiment,5 identity,0.20352413580606354,1.8544215416898657,9.111555906356623
stocktwits_sentcount,6 log,319.40909090909093,0.30370103532905063,0.000950821513766773
vix,6 log,0.4012712563975565,0.4327112921530174,1.0783510786137942
vvix,6 log,1.2554927809165102,0.6447238663030382,0.5135225595103697
vix3m,6 log,0.4380026809651475,0.8267988308167489,1.8876570093015903
voldemand_spx_open_and_close,5 identity,,,
voldemand_spx_open_only,5 identity,,,
voldemand_all_open_and_close,5 identity,,,
voldemand_all_open_only,5 identity,,,
