feature,max_abs_z,p99.9,argmax_date,era,n_above_20,ref_iqr_at_argmax,raw_x_at_argmax
adj_sumpret2_vwstock_ma_5,82.10588231925334,7.086273960333396,2024-01-17 04:30,late,28,0.43016957934120703,39.67803697557402
adj_numobs_ma_25,78.80554972898636,46.409935102189266,2014-12-25 16:30,mid,986,0.028920912462915453,-2.2727505778405783
adj_sumpret2_vwstock_ma_1,78.07005530084645,6.15196425462268,2024-01-17 03:00,late,21,0.5588297123905747,46.02920310137529
adj_sumbipow_ewstock_ma_1,77.2774287791408,5.928404837846452,2024-01-17 03:00,late,15,0.6716869961013785,54.55621191009485
adj_sumbipow_ewstock_ma_5,73.64778231138943,6.84932955028098,2024-01-17 04:30,late,23,0.5494429880655389,45.519488275531856
adj_sumbipow_vwstock_ma_1,71.93747172578217,5.452475060757877,2024-01-17 03:00,late,4,0.6436677647937913,47.04780025789364
adj_sumbipow_vwstock_ma_5,71.28626049458826,6.002018659315218,2024-01-17 04:30,late,7,0.5335985234853869,39.45052625921254
adj_sumret4_vwstock_ma_1,70.44342210780813,6.346518645514599,2024-01-17 03:00,late,27,0.5589631234634734,40.09620994601147
adj_stocktwits_sentiment_ma_25,70.34159003316651,26.26189747487839,2010-06-02 17:30,early,261,0.0,70.34159003316651
adj_stocktwits_sentiment_ma_1,70.34159003316651,5.3506473090378925,2010-06-02 05:30,early,228,0.0,70.34159003316651
adj_stocktwits_sentiment_ma_5,70.34159003316651,14.133815559464406,2010-06-02 07:30,early,232,0.0,70.34159003316651
adj_sumret2_vwstock_ma_1,68.30646477225312,5.789277819502844,2024-01-17 03:00,late,4,0.54698768994097,38.40860906880073
adj_sumret2_vwstock_ma_5,68.26191132985711,6.486038918234306,2024-01-17 04:30,late,9,0.4421639093926941,32.549972130083624
adj_sumret4_vwstock_ma_5,67.73846882388452,7.009913481534406,2024-01-17 04:30,late,29,0.4272451764074587,33.268545400946856
adj_sumabsret_ewstock_ma_5,66.90029988937134,7.354915749919609,2023-05-01 04:30,late,35,0.5020502166909786,35.454099895598574
adj_sumabsret_ewstock_ma_1,59.40073631484437,6.751787642199789,2023-05-01 03:30,late,29,0.612313512799483,37.25151870059237
adj_sumpret2_ewstock_ma_5,56.979579191570515,8.055114977502987,2021-01-14 04:30,late,39,0.43049252262166604,26.15270046077337
adj_stocktwits_sentiment_ma_125,56.0200423024138,24.510294689741514,2010-06-04 11:00,early,261,0.0,56.0200423024138
adj_sumret4_ewstock_ma_1,53.264802520249425,6.580077175829046,2024-01-17 03:00,late,14,0.5665166711823248,30.597504589141337
adj_sumret4_ewstock_ma_5,53.030591849952245,7.254486840651779,2024-01-17 04:30,late,25,0.4367130028059749,25.38685570575445
adj_sumpret2_ewstock_ma_1,52.440885418374066,6.769679914071965,2024-01-17 03:30,late,28,0.5792680425321541,35.706347661431515
adj_numobs_ma_5,51.606848008748294,32.42671896401125,2014-12-25 14:00,mid,651,0.0445669913326099,-2.297956927438763
adj_sumret2_ewstock_ma_5,51.22547624892845,7.6240922964353945,2024-01-17 04:30,late,22,0.45160624953785033,27.57915514714813
adj_sumret2_ewstock_ma_1,51.13257609299076,6.826925820177107,2024-01-17 03:00,late,14,0.5668996431444778,32.76225939394843
adj_vix3m_ma_3125,50.0243829242531,4.6211415733804255,2009-11-06 01:00,early,13,0.0054008974903954066,0.25179928631312365
adj_numobs_ma_125,38.94649550926147,30.824872114203252,2013-12-26 11:00,mid,859,0.02368021873498492,-0.9127576064085534
adj_sumabsret_ewstock_ma_25,38.52260002728512,7.369212730141035,2023-05-01 04:30,late,25,0.4248624358340588,19.31202013029213
adj_numobs_ma_1,37.123663412721214,21.687140572241933,2014-12-25 14:00,mid,328,0.06198196997575899,-2.299329733936772
adj_sumbipow_ewstock_ma_25,30.572114975773836,7.908175007222201,2023-05-01 04:30,late,35,0.40072483692212035,13.222132750226727
adj_vvix_ma_3125,30.484997376533165,2.4840624386706174,2012-06-19 23:00,mid,13,0.012427152737222058,0.3703046374935552
adj_stocktwits_sentiment_ma_3125,28.78464535503061,3.4980293064012487,2010-08-26 19:30,early,9,0.12193390860876718,3.509824316056077
adj_sumpret2_ewstock_ma_25,27.597953208297387,8.469666188114632,2023-05-01 04:30,late,17,0.3297089257479706,10.730214044449843
adj_sumret2_ewstock_ma_25,27.103118595159533,7.889027551236349,2023-05-01 04:30,late,15,0.34765666044848276,10.648033514592175
adj_sumret4_vwstock_ma_25,25.12029505421584,7.575336291199019,2023-07-04 14:00,late,18,0.31436740114448425,8.541410064974139
adj_sumpret2_vwstock_ma_25,23.284694086577076,6.578223625231158,2024-01-17 07:00,late,32,0.3356598442366536,9.66620518831552
adj_sumbipow_vwstock_ma_25,22.03329136295119,6.038949425259045,2024-01-17 07:00,late,17,0.4092881549769072,10.173741641869391
adj_sumret2_vwstock_ma_25,20.56773260085337,6.407013562585344,2024-01-17 06:30,late,10,0.35172363545836705,8.386998149133763
