winner_by_validation,arm,val_r2,search_r2,holdout_r2,val_gain,search_gain,holdout_gain,holdout_dm_t_winner
heatcov_t0.3,diagonal(strong base),0.037180186047921615,0.028661628065190237,0.02604118823140711,0.0,0.0,0.0,0.4455623557208501
heatcov_t0.3,plain_ridge_no_products,0.016822508886035092,0.01814883371198084,0.02227775785437547,-0.020357677161886523,-0.010512794353209398,-0.00376343037703164,0.4455623557208501
heatcov_t0.3,nodeInt_r0.001,0.03717774780858707,0.02865497906751413,0.02602598155713609,-2.4382393345456777e-06,-6.648997676106383e-06,-1.520667427101774e-05,0.4455623557208501
heatcov_t0.3,nodeCov_r0.001,0.03718278464229363,0.02866323099596546,0.02604320152556494,2.5985943720163718e-06,1.6029307752241095e-06,2.013294157832135e-06,0.4455623557208501
heatcov_t0.3,edgeW_r0.001,0.03717744329141004,0.02866174737414784,0.026040861254969738,-2.742756511575628e-06,1.1930895760237092e-07,-3.26976437370341e-07,0.4455623557208501
heatcov_t0.3,nodeInt_r0.003,0.03717269763222131,0.028641644542965583,0.025995638994073533,-7.488415700307449e-06,-1.9983522224653605e-05,-4.55492373335753e-05,0.4455623557208501
heatcov_t0.3,nodeCov_r0.003,0.03718796159605797,0.02866641786993307,0.026047202157790106,7.77554813635728e-06,4.78980474283297e-06,6.013926382997248e-06,0.4455623557208501
heatcov_t0.3,edgeW_r0.003,0.037171966288572,0.028661982351048443,0.02604020581928923,-8.21975934961472e-06,3.542858582061825e-07,-9.824121178780842e-07,0.4455623557208501
heatcov_t0.3,nodeInt_r0.01,0.037153471697630835,0.028594774144779067,0.0258903691415604,-2.671435029077962e-05,-6.685392041116955e-05,-0.00015081908984670989,0.4455623557208501
heatcov_t0.3,nodeCov_r0.01,0.03720587025996758,0.02867737519774316,0.026060936742955176,2.5684212045962163e-05,1.5747132552923482e-05,1.9748511548067782e-05,0.4455623557208501
heatcov_t0.3,edgeW_r0.01,0.03715288573531783,0.028662767107625386,0.026037896632649216,-2.730031260378407e-05,1.1390424351498396e-06,-3.2915987578929773e-06,0.4455623557208501
heatcov_t0.3,nodeInt_r0.03,0.03709000958944775,0.028462082045302095,0.025600472917353456,-9.017645847386735e-05,-0.00019954601988814158,-0.0004407153140536524,0.4455623557208501
heatcov_t0.3,nodeCov_r0.03,0.0372552757352117,0.0287070585493181,0.0260979999406179,7.508968729008636e-05,4.543048412786188e-05,5.681170921079115e-05,0.4455623557208501
heatcov_t0.3,edgeW_r0.03,0.03709912266049398,0.028664700077735805,0.02603117864225135,-8.106338742763786e-05,3.0720125455685476e-06,-1.0009589155757226e-05,0.4455623557208501
heatcov_t0.3,nodeInt_r0.1,0.03683954555603508,0.028042353835031952,0.024734538072458068,-0.00034064049188653467,-0.0006192742301582843,-0.001306650158949041,0.4455623557208501
heatcov_t0.3,nodeCov_r0.1,0.03740922392339319,0.028794175275187905,0.026206100833803703,0.00022903787547157162,0.00013254720999766878,0.0001649126023965941,0.4455623557208501
heatcov_t0.3,edgeW_r0.1,0.03691938419810714,0.028668333671598933,0.02600658383694343,-0.00026080184981447374,6.705606408696774e-06,-3.460439446367758e-05,0.4455623557208501
heatcov_t0.3,nodeInt_r0.3,0.03610974491007635,0.027112575944378436,0.023111688694322563,-0.0010704411378452683,-0.0015490521208118002,-0.0029294995370845456,0.4455623557208501
heatcov_t0.3,nodeCov_r0.3,0.03771942617188018,0.028938979213386062,0.02639231965006661,0.000539240123958562,0.00027735114819582574,0.0003511314186595005,0.4455623557208501
heatcov_t0.3,edgeW_r0.3,0.036470603371086985,0.02866083387442342,0.025932447702088024,-0.0007095826768346303,-7.941907668174153e-07,-0.00010874052931908462,0.4455623557208501
heatcov_t0.3,heatint_t0.1,0.03606629041985865,0.027118342790474204,0.023174208906212357,-0.0011138956280629664,-0.001543285274716033,-0.0028669793251947517,0.4455623557208501
heatcov_t0.3,heatint_t0.3,0.03386214759512429,0.024932548230447993,0.020315887175650804,-0.003318038452797323,-0.003729079834742244,-0.0057253010557563044,0.4455623557208501
heatcov_t0.3,heatint_t1.0,0.028130604121329728,0.020609592586204317,0.016744522819798546,-0.009049581926591888,-0.00805203547898592,-0.009296665411608562,0.4455623557208501
heatcov_t0.3,heatint_t3.0,0.02248382642021196,0.017034197378048344,0.014180688380378337,-0.014696359627709654,-0.011627430687141893,-0.011860499851028772,0.4455623557208501
heatcov_t0.3,heatcov_t0.1,0.03759263830104975,0.028887093506525963,0.02631969130671319,0.00041245225312813716,0.000225465441335726,0.0002785030753060802,0.4455623557208501
heatcov_t0.3,heatcov_t0.3,0.03790350251982311,0.028939543630148945,0.02643488305377306,0.0007233164719014917,0.0002779155649587084,0.0003936948223659531,0.4455623557208501
heatcov_t0.3,heatcov_t1.0,0.03668182483064275,0.027813459877155222,0.02571833639008725,-0.0004983612172788643,-0.0008481681880350145,-0.00032285184131986,0.4455623557208501
heatcov_t0.3,heatcov_t3.0,0.03163096457430603,0.02491062883732187,0.02403796855944429,-0.005549221473615584,-0.003750999227868368,-0.0020032196719628192,0.4455623557208501
