candidate,beta_levels,nw_t_levels,null_mean_abs_t,null_sd_abs_t,r_changes,p_changes,p_bonferroni
vol_level,0.050681492530422326,1.5767081732045125,0.8838582092655421,0.5005431682589729,-0.02587869941816473,0.6802647428100563,1.0
resid_vol,-0.08429834803547696,-1.4947468598817943,0.7630708041856366,0.6720331206334128,0.04773579049757888,0.44787222760523043,1.0
vix_level,-0.14717455855604267,-2.753854719556349,0.7521334367931573,0.6501532523197432,0.004072381041061314,0.9483017964815432,1.0
vvix,0.07020315433769023,2.048244750352849,0.8297339263526471,0.5531001687092241,0.10072270388201157,0.10788605256600951,1.0
term_structure,0.17534868185300506,3.235670546803275,0.9179328168867701,0.715494548822667,0.06297650210180958,0.3155282765265224,1.0
vrp,-0.1619048275918989,-3.272831366266915,0.7728059099416414,0.5838205800884112,0.030382665278954134,0.6284885124210701,1.0
mkt_ret_13d,0.09926939903632483,2.4096339917945473,0.7749148395175345,0.7947584573734191,0.09716676537717228,0.1209660252385633,1.0
sentiment,0.005288919738412252,0.19780609398277943,0.7873298851554691,0.45979928225614275,0.007380215246805042,0.9064581665566208,1.0
liq_stress,0.04394986057073929,1.5246710834401767,0.8598031229353144,0.5029746538693362,-0.00022704300551114852,0.9971157250865382,1.0
opex_proximity,-0.0005998931072222001,-0.030962929164794692,0.5802826096402787,0.41505642464589493,0.0013172962711059666,0.9832667123365902,1.0
