model,K,corr,r2,dr2
pooled composite,1,0.16399423196617482,0.026237092699662456,0.0
gain x time-of-day,2,0.160898475064581,0.025726240888980123,-0.0005108518106823334
gain x time-of-day,4,0.15333343720126827,0.02351690934481321,-0.0027201833548492482
gain x time-of-day,8,0.14039551177612494,0.019611816281599692,-0.006625276418062764
gain x time-of-day,16,0.12350303613343223,0.015048495051100397,-0.01118859764856206
gain x time-of-day,48,0.09543985180795993,0.009013761197414372,-0.017223331502248085
gain x vol regime,2,0.16121760396088045,0.025634540624717372,-0.0006025520749450841
gain x vol regime,3,0.1576889728339335,0.02465012718750159,-0.001586965512160865
gain x vol regime,5,0.1506839318892592,0.022577586033180608,-0.0036595066664818487
gain x vol regime,10,0.13849695439765633,0.01912546972835405,-0.007111622971308407
dynamic gain hl=5d,2,0.16238603944681898,0.0243132050117284,-0.001923887687934056
dynamic gain hl=20d,2,0.16114527329334433,0.02427455991321381,-0.0019625327864486453
dynamic gain hl=60d,2,0.16092600829333495,0.024363436380144488,-0.001873656319517969
dynamic gain hl=250d,2,0.15928523771694844,0.02337604063235843,-0.0028610520673040263
