month,contribution,ic
2007-02,0.6802510727708803,0.1543637329507784
2007-03,1.8667246151694437,0.16118764489433587
2007-04,2.1905745615816468,0.1558480281640705
2007-05,1.6754006334954576,0.15147749569844768
2007-06,1.2617894702018173,0.1292862306055139
2007-07,3.3076149200025085,0.21550246268885037
2007-08,3.3187543676972187,0.18575347391143754
2007-09,1.407881160451715,0.15671495864450316
2007-10,3.256315964736862,0.21269487738748863
2007-11,4.914241682008145,0.25309684150839423
2007-12,2.8319063776331186,0.17871759799491432
2008-01,17.363063767300908,0.2793505470582981
2008-02,2.883160037966669,0.1542539443223873
2008-03,3.21166176437446,0.17628942584171797
2008-04,1.8846733329425889,0.11591643090933679
2008-05,1.6777933845001767,0.11700830282160245
2008-06,1.4779491764915105,0.12716271434131943
2008-07,2.2642370239367113,0.13819926892969633
2008-08,2.0583711573943506,0.08373569959723033
2008-09,3.3539917843942586,0.09265148174010351
2008-10,2.3164385814851016,0.11765525222972889
2008-11,1.1299286516667832,0.13537273523929008
2008-12,1.2726168916659513,0.12584716540189397
2009-01,1.2795011429546788,0.11097885628443582
2009-02,1.0277932726749581,0.15081672671197857
2009-03,1.0472891950229455,0.15591647792416524
2009-04,0.7279102336919738,0.09254705480155447
2009-05,0.687678535866205,0.08565280923596999
2009-06,0.9008053694749529,0.1600047582913527
2009-07,1.5275625965805468,0.15563845079069621
2009-08,1.4157496390042748,0.19352420544994137
2009-09,2.772165254767181,0.29325468786107295
2009-10,3.550824765236163,0.2678799490592228
2009-11,3.017532316781304,0.21180469843820465
2009-12,1.8351534225507433,0.1212769145812894
2010-01,0.3327228727356055,0.013529191210519211
2010-02,1.1531441339213562,0.14676979894083012
2010-03,0.9054378567397308,0.13438383446783986
2010-04,0.6899927328991071,0.07614512739954589
2010-05,1.8767015188615894,0.037718742031091566
2010-06,1.8099665890875178,0.16323459556656733
2010-07,1.386517499909812,0.16871973190363698
2010-08,1.8465884280699838,0.1806411814703841
2010-09,1.3592782199171034,0.20393696273566175
2010-10,0.7314535205324073,0.11128346157574447
2010-11,1.5040946536974749,0.16842546277749665
2010-12,1.359184919809799,0.10330541650772848
2011-01,1.3701140505945386,0.13985638742820627
2011-02,1.6041503586751964,0.22382298359617814
2011-03,3.0536519039208496,0.1561840122615454
2011-04,1.0421688764347068,0.13240328965303466
2011-05,1.5148959388520717,0.17584058120085658
2011-06,1.8086571456879141,0.18709760044925827
2011-07,2.0574140884507557,0.18949551870045464
2011-08,7.775416126950408,0.25260644989564346
2011-09,3.152476121763939,0.2514654670908944
2011-10,1.5593768148245406,0.18209099451422364
2011-11,3.483418978965083,0.24853168786505792
2011-12,0.7801657351726584,0.09269005799703238
2012-01,1.3689979038000875,0.1306118736922381
2012-02,1.3186846428472776,0.17578605043971057
2012-03,1.2574596996194067,0.1263947028033845
2012-04,1.640777353234263,0.14715546491508022
2012-05,2.307487455423163,0.18549984367487363
2012-06,1.4453440440402916,0.1660540005169799
2012-07,1.3155376435444122,0.14478305887773657
2012-08,1.4732914769015208,0.23353885685707657
2012-09,1.5592011950398428,0.17944024435985895
2012-10,2.1893550907197614,0.1835728169310019
2012-11,2.32773336067064,0.2262488900743519
2012-12,2.1887613947787328,0.1378519179540935
2013-01,1.509093669749836,0.14047907123814
2013-02,0.8447154180339705,0.10679802634721434
2013-03,1.2491599935699031,0.12939062983360453
2013-04,1.8353021142813755,0.18966346926991856
2013-05,1.3231373282944312,0.1487690147435052
2013-06,2.0333875401247745,0.21776156808743297
2013-07,0.8347922316822642,0.1492791337475858
2013-08,1.292344996110014,0.13910101663362112
2013-09,1.2245226908182785,0.16948672299505896
2013-10,2.1896127743262985,0.17772136252031986
2013-11,1.1883513361036049,0.17114256188186822
2013-12,0.36149364814526563,0.009202600641023842
2014-01,4.449930084951199,0.22832973290015066
2014-02,2.716343089969764,0.23950310012272039
2014-03,1.9145789385330245,0.21729079124224468
2014-04,2.238215727842172,0.27105421871361407
2014-05,1.729859880034076,0.17975235641143014
2014-06,1.241122917496642,0.126609057397677
2014-07,2.150330600707215,0.20585211228017344
2014-08,2.54667287116452,0.2290513122835873
2014-09,2.4526654646993116,0.20829688771305585
2014-10,4.5524177546743,0.21852951797498987
2014-11,0.7826420576464419,0.13866982642971148
2014-12,6.6876150967074395,0.2901399010989898
2015-01,3.8017902483582646,0.1989684149677974
2015-02,1.3030048471947953,0.12871917756080095
2015-03,1.911054478662501,0.17213274982521462
2015-04,2.6643604937813303,0.2534937011868428
2015-05,1.7283440027713786,0.19475032380090054
2015-06,1.4927037190946868,0.1075691010605903
2015-07,3.5374146176358554,0.2194349797917464
2015-08,22.646794055169412,0.40209652194222817
2015-09,3.663052269944454,0.14406435293447772
2015-10,3.0788220524298433,0.08330010742972252
2015-11,1.7956191788930163,0.10253245768040826
2015-12,0.9376518678177946,0.01966330919756296
2016-01,3.63433699691066,0.15267393161892218
2016-02,0.8918579732934468,0.11634641711542569
2016-03,0.7921927651599631,0.10150739285117884
2016-04,1.7980469809202921,0.16129049492228736
2016-05,1.185598866050434,0.12131471718674985
2016-06,0.8514584601244508,0.02528789869158104
2016-07,1.4073426073565847,0.14362891792105414
2016-08,3.0694591812250147,0.2007729907645338
2016-09,4.776924238870391,0.22696964612713594
2016-10,2.5029564541103326,0.23466347088414044
2016-11,1.848734571705572,0.05684224917843334
2016-12,1.310195167196684,0.1525345171885847
2017-01,2.7695929142626907,0.1762586155281245
2017-02,1.2465004869736327,0.17502785851402866
2017-03,2.1464923497529975,0.19607839000434316
2017-04,2.0650629468500954,0.20729861811172215
2017-05,2.3057044641363396,0.24592278600360148
2017-06,1.9472882555863147,0.264618427471655
2017-07,3.294251075252734,0.28397887565508206
2017-08,3.2965256227821005,0.24728234682461178
2017-09,2.5084825729994797,0.22495127432704404
2017-10,3.1906664867152945,0.24539135602544387
2017-11,2.7403346001859457,0.15508216329899113
2017-12,1.1464172835487023,0.055051719510965796
2018-01,2.2989395043057588,0.14231091532450593
2018-02,0.4245140237904795,0.002770121630795382
2018-03,2.060046894566144,0.19235894322641164
2018-04,1.9919137982932127,0.18317771732306862
2018-05,2.7380480872806876,0.25617841079855935
2018-06,3.6570761279994572,0.25875160672394276
2018-07,3.603893958790705,0.24794612708697047
2018-08,3.6528023779582584,0.23506501517519343
2018-09,2.47192275546079,0.21919366283571545
2018-10,13.150994826881739,0.28355902588638704
2018-11,3.546424355102684,0.19002176699037257
2018-12,7.808705380154327,0.28643584929537186
2019-01,8.745221556054636,0.27404097919355497
2019-02,3.3315372223698887,0.15103469267136108
2019-03,2.269136473260719,0.13062849306596375
2019-04,2.0157376354671284,0.1696690288744812
2019-05,4.465213950708339,0.12822531773902582
2019-06,1.4752699641413274,0.1740260492461184
2019-07,2.214865654973571,0.17143835848987035
2019-08,4.256940323436154,0.171097767542324
2019-09,1.8028879765860917,0.17805162238144417
2019-10,4.009102376468178,0.21694776630306445
2019-11,1.8115354840159477,0.16938146216174646
2019-12,3.2880147643845796,0.21779061073424627
2020-01,4.233851217673436,0.16431102480771437
2020-02,7.280371893982201,0.3324715566525834
2020-03,14.758204988522927,0.23152976060616098
2020-04,7.525046050020835,0.30073951130987475
2020-05,2.788940851884066,0.25408225534981016
2020-06,6.355715632739717,0.3043809167550894
2020-07,1.9873151047285087,0.168655256918833
2020-08,1.7930174837129067,0.15318142881323718
2020-09,6.696048907005122,0.3156002075102196
2020-10,3.4396354623066623,0.2368203178205551
2020-11,2.0306485342152025,0.1240765831099966
2020-12,2.562319082151172,0.1677837177842254
2021-01,5.6119202042009695,0.23332550113234138
2021-02,2.8786578617150855,0.14298189068653425
2021-03,4.817326543781363,0.1709052144944987
2021-04,1.0077486916917566,0.07339878102705964
2021-05,2.6306307708848093,0.1478537380132818
2021-06,2.3146744824511654,0.23496588995667295
2021-07,3.0542322751719,0.2197096434050322
2021-08,1.9554172081962116,0.21820396439349657
2021-09,4.5245819978255,0.27452493411634427
2021-10,1.5175581228620874,0.06251827321130023
2021-11,3.998551582872003,0.1948766987056099
2021-12,4.688633864089696,0.24927362505344572
2022-01,14.297561249202722,0.2686612530606837
2022-02,2.6665011055223653,0.1590439274287197
2022-03,3.602416856641318,0.200930435112813
2022-04,7.245632814461711,0.2149955034137394
2022-05,6.100214982473054,0.2125403852677344
2022-06,5.841606619920918,0.23309374838998606
2022-07,1.6615330297944526,0.1316418940270394
2022-08,1.9719944722480864,0.19456482428612001
2022-09,2.734230294554296,0.16013080166760416
2022-10,2.6114095310310583,0.13612799547704835
2022-11,1.309163381173997,0.10473855818956894
2022-12,1.6481104164741132,0.1377084563973081
2023-01,1.8979291634942905,0.1428955938877912
2023-02,2.1006081830659897,0.20238691479490553
2023-03,5.991496586272808,0.32964544054094935
2023-04,2.7908380936723596,0.2879160679927205
2023-05,4.631753355162431,0.21097827863275995
2023-06,2.4128004873950832,0.27104839106038864
2023-07,2.1133401785093344,0.20325150348932472
2023-08,3.568202541240348,0.23942869931292748
2023-09,1.6425610325387836,0.05015793123359366
2023-10,2.221505086860515,0.08878371007203106
2023-11,1.5285260980089095,0.18844590420887544
2023-12,0.8286896381322463,0.058937031869846765
2024-01,2.815153189364283,0.11841590272250203
2024-02,1.3119172659036196,0.0842545883300326
2024-03,1.105786877596065,0.07661129231453212
2024-04,0.8311473364499915,0.021252474286026335
