axis,K,ic_sd,split_half,null
time-of-day (48 slots),48,0.05407611025218564,0.6789061712074377,0.04269714923742121
day-of-week (5),7,0.03433870998766032,0.7437658607031088,0.0634691695937791
"vol regime (5, causal)",5,0.03636566805093758,0.640708578642017,0.020760082376038255
