arm,r2,qlike,health
"deliverable (2-stage, daily, no xsec)",0.6063431353710718,0.12651322708234217,FAIL
one-stage daily,0.6069599083816736,0.12654298966706276,FAIL
one-stage PER BAR,0.6117625083790198,0.12525544177598008,FAIL
