raw,n_nan,nan_frac,zero_frac,signed,rule,has_name_stabilizer,pinned_divisor_frac,unwinsorized_frac,first_real_row,first_real_date,raw_max,raw_p99.9,adj_max,adj_p99.9
sumpret2_vwstock,28,0.0001137938461913606,0.031646418540752994,False,1 sqrt,True,0.0,0.0010891696706887373,28,2005-01-03,0.0516125520680464,0.0004545536187339559,46.02920310137529,4.335927975810402
sumpret2_ewstock,28,0.0001137938461913606,0.031646418540752994,False,1 sqrt,True,0.0,0.0010891696706887373,28,2005-01-03,0.0895899654255378,0.0006999351351585,35.706347661431515,4.735271500482027
sumbipow_ewstock,28,0.0001137938461913606,0.09587409716661721,False,1 sqrt,True,0.0,0.0010891696706887373,28,2005-01-03,0.0142880093029802,0.0003064973647675961,54.55621191009485,5.79745935863277
sumbipow_vwstock,28,0.0001137938461913606,0.09587409716661721,False,1 sqrt,True,0.0,0.0010891696706887373,28,2005-01-03,0.0209466124169962,0.0002289055857962736,47.04780025789364,5.178128184957621
sumret2_vwstock,28,0.0001137938461913606,0.05209506119147587,False,1 sqrt,True,0.0,0.0010891696706887373,28,2005-01-03,0.0535700432217136,0.0005795081499206499,38.40860906880073,4.3097664057847265
sumret2_ewstock,28,0.0001137938461913606,0.05209506119147587,False,1 sqrt,True,0.0,0.0010891696706887373,28,2005-01-03,0.0387021656767259,0.000885956180219,32.76225939394843,5.028467698625994
sumret4_vwstock,28,0.0001137938461913606,0.05209506119147587,False,4 fourth-root,True,0.0,0.0010891696706887373,28,2005-01-03,0.2973660075209762,3.755767904947544e-05,40.09620994601147,4.289049282521414
sumret4_ewstock,28,0.0001137938461913606,0.05209506119147587,False,4 fourth-root,True,0.0,0.0010891696706887373,28,2005-01-03,0.2492654891106599,3.716206333128574e-05,30.597504589141337,4.43288776001541
sumabsret_ewstock,28,0.0001137938461913606,0.05209506119147587,False,5 identity,False,0.0,0.0010891696706887373,28,2005-01-03,0.1149207871915412,0.031002605653377535,37.25151870059237,7.501063511936238
numobs,0,0.0,0.0,False,6 log,False,0.0,0.0009753758244973766,0,2005-01-02,30.0,30.0,3.4011973816621555,2.8903717578961645
stocktwits_sentiment,68909,0.28005071954287386,0.015331639853231724,True,5 identity,False,0.28125774712568935,0.2810260953673712,68909,2010-06-01,1.0,1.0,70.34159003316651,26.177742810175342
vix3m,58688,0.23851190161709185,0.0,False,6 log,False,0.0,0.2394872774415892,58688,2009-08-12,79.95,65.27,3.3978584803966405,3.3130945001071823
vvix,92020,0.3739753473760358,0.0,False,6 log,False,0.0,0.3749507232005332,92020,2012-03-26,204.7,183.13,4.681112189563248,4.608664075242347
