pair,ic_pooled,ic_month_sd
adj_sumret_ma_1 x adj_sumret_ma_1,0.08989724252641608,0.07361670586806883
adj_sumret_ma_1 x adj_sumvolume_ma_1,-0.08681688722178131,0.05276158320861969
adj_sumret_ma_1 x adj_sumabsret_ma_1,-0.08530806509022108,0.0529139070126922
har_ma_1 x adj_sumret_ma_1,-0.08523685866561076,0.05486481168029571
adj_sumret_ma_25 x adj_sumabsret_ma_1,-0.08475497561182216,0.06442138848014013
har_ma_1 x adj_sumret_ma_25,-0.08407234535886939,0.06480902198698535
adj_sumret_ma_25 x adj_sumbipow_ma_1,-0.08360759582725542,0.06406085330020385
adj_sumret_ma_1 x adj_sumbipow_ma_1,-0.0834037625602348,0.053456998292713755
har_ma_5 x adj_sumret_ma_25,-0.08271146560090857,0.06304501925188034
adj_sumret_ma_1 x adj_sumret4_ma_1,-0.0811663335036673,0.054993447932585975
adj_sumbipow_ma_1 x adj_vix_ma_1,0.08089568619425419,0.06110107280277884
har_ma_1 x adj_vix_ma_1,0.07977933124250712,0.06107582367912143
adj_sumret_ma_25 x adj_sumret4_ma_1,-0.07968692423726836,0.06306347885394831
adj_sumabsret_ma_1 x adj_vix_ma_1,0.07807715562066013,0.06118129761254635
adj_sumret_ma_25 x adj_sumret4_ma_25,-0.0777649496020599,0.05897443479013597
adj_sumret_ma_25 x adj_sumbipow_ma_25,-0.07737210393454175,0.05804165524106601
har_ma_25 x adj_sumret_ma_25,-0.07714155476061801,0.057645005576863584
adj_sumret4_ma_1 x adj_vix_ma_1,0.07657443437499843,0.05852051023457887
adj_sumret_ma_25 x adj_sumabsret_ma_25,-0.07616531820261328,0.05619722923428127
adj_sumret_ma_25 x adj_sumpret2_ma_25,-0.07554766902493969,0.05541018733689426
har_ma_5 x adj_sumret_ma_1,-0.07538460257207054,0.04861085171597602
adj_sumbipow_ma_1 x adj_vix_ma_25,0.07466496533808148,0.060716962763407704
adj_sumret_ma_25 x adj_sumpret2_ma_1,-0.07361094873953748,0.06059699898523983
har_ma_1 x adj_vix_ma_25,0.07346737503359814,0.06065887211634812
adj_sumabsret_ma_1 x adj_vix_ma_25,0.07152400387555242,0.06063990072833128
adj_sumret4_ma_1 x adj_vix_ma_25,0.07085505854332648,0.058609810323144405
har_ma_125 x adj_sumret_ma_25,-0.07084332955869281,0.049318427615381286
adj_sumret_ma_1 x adj_sumabsret_ma_25,-0.07050940252176408,0.04769244918263958
adj_sumret_ma_1 x adj_sumbipow_ma_25,-0.07049356513578095,0.04771279535364085
har_ma_25 x adj_sumret_ma_1,-0.07016337085455246,0.04782023409940803
adj_sumret_ma_1 x adj_sumret4_ma_25,-0.06978414303518676,0.04805199002704853
adj_sumabsret_ma_1 x adj_sumabsret_vwstock_ma_1,0.06970135757203777,0.05952312128048091
adj_sumbipow_ma_1 x adj_sumabsret_vwstock_ma_1,0.06909201723112864,0.06080095502209784
har_ma_5 x adj_vix_ma_1,0.06899744698169581,0.0565152522670561
adj_sumret_ma_25 x adj_vix3m_ma_1,-0.06892707953448107,0.050863450812454566
har_ma_125 x adj_sumret_ma_1,-0.06874268243159498,0.05011379968561658
adj_sumret_ma_1 x adj_sumpret2_ma_25,-0.06871450875007849,0.04823277910031817
har_ma_1 x adj_sumabsret_vwstock_ma_1,0.06789328819884138,0.06073588752127937
adj_sumret_ma_25 x adj_sumabsret_vwstock_ma_1,-0.06783351300406772,0.05567968583722635
adj_sumret_ma_25 x adj_vix3m_ma_25,-0.06758061794043044,0.047004026705848294
adj_sumret_ma_1 x adj_sumret3_ma_1,0.06723264204634218,0.07062490941823095
adj_sumret_ma_1 x adj_sumvolume_ma_25,-0.06574783863293944,0.04965362447896813
adj_sumret_ma_1 x adj_vix3m_ma_1,-0.06570891370953699,0.04775213194311221
adj_sumret_ma_1 x adj_sumpret2_ma_1,-0.06472485188933587,0.05315943374153267
adj_sumpret2_ma_1 x adj_vix_ma_1,0.06369500996472453,0.05846204613576335
adj_sumret4_ma_25 x adj_vix_ma_1,0.0636463541499023,0.05436513908900889
adj_sumret_ma_25 x adj_sumvolume_ma_1,-0.06362459297634275,0.06040767915623877
adj_sumret4_ma_1 x adj_sumabsret_vwstock_ma_1,0.06341711392271074,0.06028812783857323
adj_sumvolume_ma_1 x adj_vix_ma_1,0.06330341313104933,0.054220527268434356
adj_sumret_ma_1 x adj_vix3m_ma_25,-0.06326144596141578,0.047068337982941036
adj_sumret3_ma_1 x adj_sumvolume_ma_1,-0.06309087032913831,0.04395495364983957
adj_sumbipow_ma_1 x adj_vix_ma_625,0.06300912587376231,0.0558714981946976
adj_sumabsret_vwstock_ma_1 x adj_vix_ma_1,0.06283215925381828,0.04943810253771262
adj_sumret_ma_25 x adj_vix_ma_1,-0.0626861393416693,0.0499669641264774
adj_sumabsret_ma_1 x adj_vix_ma_625,0.06259478031029328,0.055175955879003334
har_ma_1 x adj_vix_ma_625,0.06224203352060064,0.05642500550300791
adj_sumbipow_ma_1 x adj_sumautocov_ma_1,0.06218118231267265,0.04914359735339821
