asof,beta_norm
2006-01-18,0.04052534500033265
2006-02-12,0.04012353542711114
2006-03-08,0.04003830739432082
2006-04-02,0.03956816628218048
2006-04-26,0.03784126111264137
2006-05-21,0.03762544192940458
2006-06-14,0.03756704764009091
2006-07-09,0.03623019427423091
2006-08-02,0.03584642177672706
2006-08-27,0.035349988409807784
2006-09-20,0.035117755668640754
2006-10-15,0.03439803129803394
2006-11-08,0.03279611791099656
2006-12-03,0.03291046751079434
2006-12-27,0.033195969245368134
2007-01-21,0.03322097202015722
2007-02-14,0.03300544695246685
2007-03-11,0.03470380086645349
2007-04-04,0.03501600387212851
2007-04-29,0.03732779696731087
2007-05-23,0.03690730068726177
2007-06-17,0.03600657821474751
2007-07-11,0.03535151428533644
2007-08-05,0.03675915450744926
2007-08-29,0.037231215996571594
2007-09-23,0.037421605170904655
2007-10-17,0.03781334796924213
2007-11-11,0.03921414714796572
2007-12-05,0.04076114380034482
2007-12-30,0.039530341514852685
2008-01-23,0.04710123084525327
2008-02-17,0.04983544769475784
2008-03-12,0.049362539246679826
2008-04-06,0.04909175558600224
2008-04-30,0.04854244697604027
2008-05-25,0.04490523437665035
2008-06-18,0.042145876418721244
2008-07-13,0.04121454192805495
2008-08-06,0.03943863041237045
2008-08-31,0.03819851600245053
2008-09-24,0.0401000308237454
2008-10-19,0.041535164224208124
2008-11-12,0.03803155169549806
2008-12-07,0.03820124060179967
2008-12-31,0.03942246546410051
2009-01-25,0.03813968406453021
2009-02-18,0.038512000988515295
2009-03-15,0.039841803065296194
2009-04-08,0.03973291469714554
2009-05-03,0.03887051617830736
2009-05-27,0.03847507995506315
2009-06-21,0.03715966632101346
2009-07-15,0.035276271625838414
2009-08-09,0.03301892684103235
2009-09-02,0.03267323345566206
2009-09-27,0.03314474080525519
2009-10-21,0.03467154399848953
2009-11-15,0.03147448777479903
2009-12-09,0.03285561680595268
2010-01-03,0.028454261001217656
2010-01-27,0.029130928230921657
2010-02-21,0.0288767317008522
2010-03-17,0.029273052765901652
2010-04-11,0.028532491469521134
2010-05-05,0.027862792545777778
2010-05-30,0.030824535564175738
2010-06-23,0.03175981125685877
2010-07-18,0.03145679769166315
2010-08-11,0.0329149683268804
2010-09-05,0.03358141688311949
2010-09-29,0.033820738665580476
2010-10-24,0.03650081105027419
2010-11-17,0.03701806722240505
