claim,mean_dQLIKE_1e4,dm_t,rw_adj_p
leverage,1.054631520186274,4.026345545104883,0.002
probe5,0.8370321137589415,2.414915125614371,0.042
labels,0.08115143644212217,1.9289266157639189,0.0725
events,0.08423424394176464,1.0437703866248633,0.2675
dense679,-8.645022813276867,-1.8696535818026365,0.956
transmission_smear,-9.16539654095351,-1.991726484066903,0.9645
