block_months,n_blocks,sd_observed,sd_null,var_signal,var_ratio,mean_slope,signal_var_rel_h1
1,207,0.38051089735050586,0.21823721916685654,0.09716105917280463,3.040020831674747,0.9065517847637847,1.0
2,104,0.34228696571644524,0.16374889436180837,0.09034666649465628,4.369421793001408,0.884506877267313,0.9298649815454493
3,69,0.3087855540921729,0.13669194026215062,0.07666383188337889,5.103030133767106,0.8698029254653932,0.7890386594801252
6,35,0.23515283073553284,0.09567463208382292,0.046143218578559284,6.040971968785277,0.8415750026427045,0.4749147340653401
12,18,0.20344025010429906,0.06980402379672995,0.036515333624285315,8.494011533490587,0.8119046905479184,0.37582272090448715
