feature,bucket,window,ic_pooled
adj_sumret_ma_1,moments,1,-0.10123061091696897
adj_sumret_ma_5,moments,5,-0.11200624786939481
adj_sumret_ma_25,moments,25,-0.09164732568481902
adj_sumret_ma_125,moments,125,-0.0670954792925072
adj_sumret_ma_625,moments,625,-0.032075102951106806
adj_sumret_ma_3125,moments,3125,-0.00525978137007932
adj_sumabsret_ma_1,moments,1,0.040151666422232696
adj_sumabsret_ma_5,moments,5,0.03146531860327936
adj_sumabsret_ma_25,moments,25,0.026094594819231372
adj_sumabsret_ma_125,moments,125,0.019650692523671465
adj_sumabsret_ma_625,moments,625,0.009993041942189881
adj_sumabsret_ma_3125,moments,3125,-0.0011195857137248665
adj_sumret3_ma_1,moments,1,-0.07044016335329147
adj_sumret3_ma_5,moments,5,-0.07784020357395643
adj_sumret3_ma_25,moments,25,-0.06380398168462356
adj_sumret3_ma_125,moments,125,-0.04428402830085858
adj_sumret3_ma_625,moments,625,-0.027137426684030904
adj_sumret3_ma_3125,moments,3125,-0.016323524151112753
adj_sumret4_ma_1,moments,1,0.011212117026985354
adj_sumret4_ma_5,moments,5,0.018641234688915632
adj_sumret4_ma_25,moments,25,0.02179930932200753
adj_sumret4_ma_125,moments,125,0.022747534173353064
adj_sumret4_ma_625,moments,625,0.016377661774411106
adj_sumret4_ma_3125,moments,3125,0.014095644382812019
adj_sumpret2_ma_1,moments,1,-0.008042275048060897
adj_sumpret2_ma_5,moments,5,0.007024424578995321
adj_sumpret2_ma_25,moments,25,0.01682313014633353
adj_sumpret2_ma_125,moments,125,0.018526773029079385
adj_sumpret2_ma_625,moments,625,0.012048131075013112
adj_sumpret2_ma_3125,moments,3125,0.006529540353736489
adj_sumbipow_ma_1,moments,1,0.0292203558298003
adj_sumbipow_ma_5,moments,5,0.027453926557330748
adj_sumbipow_ma_25,moments,25,0.02535355901236953
adj_sumbipow_ma_125,moments,125,0.02102941035221255
adj_sumbipow_ma_625,moments,625,0.012396416148518037
adj_sumbipow_ma_3125,moments,3125,0.006033197749338512
adj_sumautocov_ma_1,moments,1,0.07362618262235149
adj_sumautocov_ma_5,moments,5,0.0493985220957289
adj_sumautocov_ma_25,moments,25,0.02414084079088854
adj_sumautocov_ma_125,moments,125,0.007530580316455119
adj_sumautocov_ma_625,moments,625,-0.00530531216772352
adj_sumautocov_ma_3125,moments,3125,-0.01125080979069146
adj_sumvolume_ma_1,liquidity,1,0.057107639734393534
adj_sumvolume_ma_5,liquidity,5,0.029220409080739196
adj_sumvolume_ma_25,liquidity,25,0.02045204726705654
adj_sumvolume_ma_125,liquidity,125,0.010866685254448928
adj_sumvolume_ma_625,liquidity,625,0.011812604804217636
adj_sumvolume_ma_3125,liquidity,3125,0.0004291026477618874
adj_numobs_ma_1,liquidity,1,0.022551968585750294
adj_numobs_ma_5,liquidity,5,0.014847417017238703
adj_numobs_ma_25,liquidity,25,0.01063346909284834
adj_numobs_ma_125,liquidity,125,-0.0007812024013033236
adj_numobs_ma_625,liquidity,625,0.005943466921339508
adj_numobs_ma_3125,liquidity,3125,-0.0066429241971475315
adj_sumret2_ewstock_ma_1,market_ew,1,0.037645923909580215
adj_sumret2_ewstock_ma_5,market_ew,5,0.024925099732352823
adj_sumret2_ewstock_ma_25,market_ew,25,0.01939427514769521
adj_sumret2_ewstock_ma_125,market_ew,125,0.013954327745073969
adj_sumret2_ewstock_ma_625,market_ew,625,0.006096931422827843
adj_sumret2_ewstock_ma_3125,market_ew,3125,0.0008165120209791622
adj_sumret3_ewstock_ma_1,market_ew,1,-0.03171809793229474
adj_sumret3_ewstock_ma_5,market_ew,5,-0.021624531153230996
adj_sumret3_ewstock_ma_25,market_ew,25,-0.010371300681954248
adj_sumret3_ewstock_ma_125,market_ew,125,-0.0037726626229616657
adj_sumret3_ewstock_ma_625,market_ew,625,-0.0009840998065823753
