arm,shrink,r2_holdout,dr2_holdout,dm_t_vs_pooled,n_holdout
gamma_7df,0.0,0.035769748054163664,0.0,0.0,55144
gamma_7df,0.15,0.036240659815634846,0.0004709117614711822,2.2893247867938107,55144
gamma_7df,0.3,0.0365770108876915,0.0008072628335278331,2.0185135806311147,55144
gamma_7df,0.5,0.03681616235578811,0.0010464143016244432,1.6266152347007423,55144
gamma_7df,0.75,0.036778699967372375,0.001008951913208711,1.0879385159988866,55144
gamma_7df,1.0,0.03636745788613849,0.0005977098319748242,0.4995947256110027,55144
sentiment_1df,1.0,0.0366000143332057,0.0008302662790420356,0.8929615458122722,55144
