spa_p_family,arm,mean_loss_diff,dm_t,rw_adj_p,r2_gain
0.0,vol_K2_blend,0.0001285232484392106,5.012574829919135,0.0,0.0020841377567080155
0.0,vol_K3_blend,0.000148965871881277,4.560787112422346,0.0005,0.002415636095562279
0.0,vol_K5_blend,0.0001471766723748375,4.142190048590035,0.0015,0.0023866223701006772
0.0,vol_K10_blend,8.147834893769632e-05,1.8908222753388115,0.1655,0.0013212559240253219
0.0,vol_K2_separate,7.832645676191085e-05,1.6498105236796259,0.24,0.0012701447237687402
0.0,tod_K2_blend,1.748138667883858e-05,0.7412013367894402,0.623,0.00028347881382895235
0.0,vol_K3_separate,4.617451611468028e-05,0.7358171710808052,0.623,0.0007487676634462259
0.0,tod_K4_blend,-1.5276865851973838e-06,-0.04461652374532032,0.8815,-2.477302224523914e-05
0.0,tod_K6_blend,-1.1039255224389163e-05,-0.28927466396934187,0.935,-0.00017901297157096874
0.0,tod_K8_blend,-3.010331645172739e-05,-0.6593272536495429,0.975,-0.00048815649449451826
0.0,vol_K5_separate,-5.777799394208101e-05,-0.9106024655980333,0.9915,-0.000936930089644239
0.0,tod_K12_blend,-5.277808026999538e-05,-1.0373291775603115,0.9945,-0.0008558513043596117
0.0,dow_K5_blend,-3.51379068238635e-05,-1.1818855685780931,0.9965,-0.0005697975984315651
0.0,tod_K16_blend,-7.261894933565229e-05,-1.2919241755520867,0.998,-0.0011775915719597352
0.0,tod_K2_separate,-6.52042283277731e-05,-1.398546586069124,0.999,-0.0010573541814821175
0.0,tod_K24_blend,-9.361963075068577e-05,-1.492984678363837,0.999,-0.001518139399571794
0.0,tod_K48_blend,-0.00019990322295740774,-2.731771946817276,1.0,-0.0032416380671403955
0.0,tod_K4_separate,-0.0002495339446580639,-3.528028054501403,1.0,-0.004046451688373476
0.0,tod_K6_separate,-0.00039072833127239023,-4.76707666358528,1.0,-0.006336065091020471
0.0,vol_K10_separate,-0.00035703503370410484,-4.923162205079989,1.0,-0.005789693329780077
0.0,tod_K8_separate,-0.0005491075250058659,-5.501144987991219,1.0,-0.008904347962371939
0.0,tod_K12_separate,-0.0007601975058407469,-6.39829286044641,1.0,-0.012327390909569025
0.0,dow_K5_separate,-0.0003018175592285977,-6.431643917459916,1.0,-0.004894284718637731
0.0,tod_K16_separate,-0.0009414053825942035,-7.002041751085908,1.0,-0.015265864550261132
0.0,tod_K24_separate,-0.0012110504669587733,-7.972953999443514,1.0,-0.019638439224956783
0.0,tod_K48_separate,-0.0018992453554190975,-10.287877276512535,1.0,-0.030798233024378008
