bucket,estimator,arm,qlike_pct_vs_incumbent_16,d_ci,qlike_pct_mean_13_bars,bars_better,trade_deck_days,trade_pct_buy,trade_Sharpe_mid,trade_Sharpe_crossed,trade_ridge_Sharpe_mid_same_days
live_feasible (incumbent),ridge,bar1600,0.0,,0.0,,550,37.45454545454546,1.9207304855667742,1.5560718263527464,1.4775743986894427
ivslice_only,ridge,bar1600,5.966225135022385,"[-0.0012, +0.0122]",6.264429736968361,2/13,550,33.45454545454545,0.8839385521733377,0.5193589937601903,1.4775743986894427
ivslice_only,ridge,rth @16:00,15.935048653844586,"[+0.0028, +0.0286]",,,550,29.63636363636364,0.5141601511645594,0.15115925749750075,1.4775743986894427
live_feasible_ivslice,ridge,bar1600,1.4054685752099338,"[-0.0035, +0.0067]",-2.6159287033621865,7/13,550,37.81818181818182,1.6258253168948567,1.2610140690623888,1.4775743986894427
live_feasible_ivslice,ridge,rth @16:00,-0.7968015773076598,"[-0.0074, +0.0066]",,,550,30.181818181818183,0.9968742855137365,0.6316546452514799,1.4775743986894427
live_feasible_plus_ivslice,ridge,bar1600,-0.8440869194385803,"[-0.0021, +0.0008]",-2.6173192785863364,9/13,550,36.54545454545455,1.8051606357730263,1.4396036916812174,1.4775743986894427
live_feasible_plus_ivslice,ridge,rth @16:00,2.9087618775480717,"[-0.0039, +0.0102]",,,550,33.27272727272727,0.6877560974074703,0.3250510043065614,1.4775743986894427
live_feasible (incumbent),enet,bar1600,0.0,,0.0,,550,35.81818181818181,2.0201078915161212,1.6536393230750097,1.4775743986894427
ivslice_only,enet,bar1600,6.886658815904023,"[+0.0008, +0.0115]",3.0939718799494886,2/13,550,32.0,1.0605588876018024,0.6939691133903334,1.4775743986894427
ivslice_only,enet,rth @16:00,5.2420625475775084,"[-0.0081, +0.0189]",,,550,27.090909090909093,0.36135191998691213,-0.00020816262227942245,1.4775743986894427
live_feasible_ivslice,enet,bar1600,-0.7721155159143178,"[-0.0035, +0.0024]",-1.0611738957062022,9/13,550,34.72727272727273,2.118205687004956,1.749820125993752,1.4775743986894427
live_feasible_ivslice,enet,rth @16:00,-6.461720579598829,"[-0.0201, +0.0047]",,,550,31.09090909090909,1.1123551761985593,0.7464550170285693,1.4775743986894427
live_feasible_plus_ivslice,enet,bar1600,-2.1566869513874654,"[-0.0032, -0.0005]",-2.9356959662832978,10/13,550,35.63636363636364,1.8332431949228374,1.4665470625082673,1.4775743986894427
live_feasible_plus_ivslice,enet,rth @16:00,-7.768000629867133,"[-0.0217, +0.0023]",,,550,32.36363636363636,1.0762220861469587,0.7108925637018708,1.4775743986894427
live_feasible (incumbent),lasso,bar1600,0.0,,0.0,,550,34.72727272727273,2.019938738239704,1.6510900980302123,1.4775743986894427
ivslice_only,lasso,bar1600,5.915393723816509,"[-0.0044, +0.0148]",3.3670680179170174,2/13,550,32.36363636363636,1.1149760498075914,0.7494685058926177,1.4775743986894427
ivslice_only,lasso,rth @16:00,13.25824352396161,"[-0.0001, +0.0265]",,,550,27.454545454545453,0.6899783782769057,0.3243580374076149,1.4775743986894427
live_feasible_ivslice,lasso,bar1600,-0.6841215675588486,"[-0.0023, +0.0010]",-2.792750043245115,10/13,550,34.54545454545455,1.9318830176238453,1.5631718030728068,1.4775743986894427
live_feasible_ivslice,lasso,rth @16:00,2.6599981014161056,"[-0.0043, +0.0098]",,,550,31.636363636363633,1.2405718482064407,0.8737578277675754,1.4775743986894427
live_feasible_plus_ivslice,lasso,bar1600,-1.1027733249954652,"[-0.0024, -0.0000]",-2.9484644736012053,9/13,550,34.54545454545455,2.0177225363828084,1.6488674332169844,1.4775743986894427
live_feasible_plus_ivslice,lasso,rth @16:00,-1.5299251334100483,"[-0.0068, +0.0037]",,,550,31.636363636363633,1.0164578024358493,0.6505024477506969,1.4775743986894427
