year,n,ratio_all_bars,ratio_close_bar
2001,1353.0,0.9922005042550945,0.6610149035639419
2002,2974.0,0.9163944709118752,0.6738929804972625
2003,2976.0,0.949677337500103,0.7116956565650441
2004,3012.0,1.0378665962386036,0.802161191454557
2005,3012.0,1.0244226230608606,0.7041361891028237
2006,2988.0,1.1218018815442445,0.8396370054044139
2007,2976.0,1.09346087454024,0.5751897159035908
2008,3000.0,1.0081883112098124,0.6958720340773207
2009,3000.0,1.1458448940462702,0.9706821781057623
2010,3012.0,1.2594956515549316,0.9990564289462183
2011,3012.0,1.1204217777154084,0.6285424854861629
2012,2964.0,1.1673661777227515,1.059391627624463
2013,2988.0,1.1147771524280081,0.861402791527167
2014,2988.0,1.1246544282505953,0.906802790343584
2015,3000.0,1.1065285347229932,1.0204250211336339
2016,3012.0,1.0692509961904808,1.2883291176026948
2017,2988.0,1.1540909729089746,1.1170976543772704
2018,2976.0,1.065456519863285,0.7952054983373755
2019,2988.0,1.1558336336898773,1.0680978578169344
2020,3012.0,1.050908917762302,0.6856875719731218
2021,3012.0,1.0005113496688953,0.8628905622900646
2022,3000.0,0.9775990040103223,0.9205851732960744
2023,2976.0,1.0543806810870857,0.8713349273697811
2024,996.0,1.0214371686595862,0.7917697562222639
