cut,d_tv_hat,d_f3,pos_moved
2021-12-27,0.0,0.0,0.0
2022-05-10,0.0,0.0,0.0
2022-08-10,0.0,0.0,0.0
2022-11-04,0.0,0.0,0.0
2023-02-06,0.0,0.0,0.0
2023-05-05,0.0,0.0,0.0
2023-08-04,0.0,0.0,0.0
2023-10-31,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0
2024-04-30,0.0,0.0,0.0
