oracle,n,pct_long,corr with sign(R),hit rate q R > 0,Sharpe mid,Sharpe crossed
sign(RV - iv_var),866.0,27.136258660508084,0.1728499533433577,0.628175519630485,4.530901886580046,4.071734094167578
sign(r^2 - iv_var),866.0,28.406466512702078,0.728451743001527,0.8695150115473441,14.64678553482938,14.412712841730396
agreement of the two oracles,866.0,,,0.6916859122401847,,
