,T0 sign(rv_hat - iv) | mid,T0 sign(rv_hat - iv) | crossed,T2bh payoff vs touch (rv_hat) | mid,T2bh payoff vs touch (rv_hat) | crossed,T1 sign(tv_hat - iv) | mid,T1 sign(tv_hat - iv) | crossed
2020-01-03,-2.400097608566284,-2.60009765625,-2.400097608566284,-2.60009765625,2.400097608566284,2.200097680091858
2020-01-06,-0.36997075378894806,-0.469970703125,-0.36997075378894806,-0.469970703125,0.36997075378894806,0.26997068524360657
2020-01-08,10.424951195716858,10.349951207637787,10.424951195716858,10.349951207637787,-10.424951195716858,-10.499951183795929
2020-01-10,-2.4499999284744263,-2.600000023841858,-0.0,0.0,2.4499999284744263,2.3000000715255737
2020-01-13,-1.904882788658142,-2.029882788658142,-1.904882788658142,-2.029882788658142,-1.904882788658142,-2.029882788658142
2020-01-15,1.6650390028953552,1.4900391101837158,1.6650390028953552,1.4900391101837158,-1.6650390028953552,-1.8400390148162842
2020-01-17,-2.295117199420929,-2.420117139816284,-2.295117199420929,-2.420117139816284,-2.295117199420929,-2.420117139816284
2020-01-21,-1.550000011920929,-1.75,-0.0,0.0,1.550000011920929,1.350000023841858
2020-01-22,-2.299999952316284,-2.450000047683716,-2.299999952316284,-2.450000047683716,2.299999952316284,2.150000035762787
2020-01-24,3.924999952316284,3.6499998569488525,3.924999952316284,3.6499998569488525,3.924999952316284,3.6499998569488525
2020-01-27,-1.6701172590255737,-1.8701171875,-1.6701172590255737,-1.8701171875,-1.6701172590255737,-1.8701171875
2020-01-29,2.4000977277755737,2.150097608566284,2.4000977277755737,2.150097608566284,-2.4000977277755737,-2.650097608566284
2020-01-31,7.329980373382568,6.879980564117432,7.329980373382568,6.879980564117432,7.329980373382568,6.879980564117432
2020-02-03,3.305078148841858,3.1300781965255737,3.305078148841858,3.1300781965255737,-3.305078148841858,-3.480078101158142
2020-02-05,-2.800000011920929,-3.0,-2.800000011920929,-3.0,-2.800000011920929,-3.0
2020-02-07,2.9749999046325684,2.75,-0.0,0.0,2.9749999046325684,2.75
2020-02-10,0.24008792638778687,0.14008784294128418,0.24008792638778687,0.14008784294128418,0.24008792638778687,0.14008784294128418
2020-02-12,-1.574999988079071,-1.699999988079071,-1.574999988079071,-1.699999988079071,-1.574999988079071,-1.699999988079071
2020-02-14,-2.834912121295929,-3.009912133216858,-2.834912121295929,-3.009912133216858,-2.834912121295929,-3.009912133216858
2020-02-18,-1.725000023841858,-1.9000000357627869,-1.725000023841858,-1.9000000357627869,-1.725000023841858,-1.9000000357627869
2020-02-19,-1.675000011920929,-1.7999999523162842,-1.675000011920929,-1.7999999523162842,-1.675000011920929,-1.7999999523162842
2020-02-21,2.200000047683716,1.9000000953674316,2.200000047683716,1.9000000953674316,2.200000047683716,1.9000000953674316
2020-02-24,-6.110107183456421,-6.510107517242432,-6.110107183456421,-6.510107517242432,-6.110107183456421,-6.510107517242432
2020-02-26,7.939892292022705,7.289892673492432,-0.0,0.0,7.939892292022705,7.289892673492432
2020-02-28,-36.86997127532959,-38.61997032165527,-36.86997127532959,-38.61997032165527,-36.86997127532959,-38.61997032165527
2020-03-02,40.57998037338257,39.62998056411743,40.57998037338257,39.62998056411743,-40.57998037338257,-41.52998065948486
2020-03-04,-2.6201171875,-3.420116901397705,-2.6201171875,-3.420116901397705,-2.6201171875,-3.420116901397705
2020-03-06,-26.420117378234863,-27.8701171875,-26.420117378234863,-27.8701171875,-26.420117378234863,-27.8701171875
2020-03-09,0.5100584030151367,-0.93994140625,0.5100584030151367,-0.93994140625,0.5100584030151367,-0.93994140625
2020-03-11,18.670117378234863,16.920117378234863,18.670117378234863,16.920117378234863,18.670117378234863,16.920117378234863
2020-03-13,-78.3700180053711,-85.22001838684082,-78.3700180053711,-85.22001838684082,-78.3700180053711,-85.22001838684082
2020-03-16,-28.270118713378906,-31.17011833190918,0.0,0.0,-28.270118713378906,-31.17011833190918
2020-03-18,30.500097274780273,28.200098037719727,30.500097274780273,28.200098037719727,-30.500097274780273,-32.80009651184082
2020-03-20,-0.5699214935302734,-9.419921875,-0.0,0.0,0.5699214935302734,-8.280078887939453
2020-03-23,3.7500972747802734,2.4000988006591797,-0.0,0.0,3.7500972747802734,2.4000988006591797
2020-03-25,-37.38994121551514,-38.73994159698486,-37.38994121551514,-38.73994159698486,-37.38994121551514,-38.73994159698486
2020-03-27,-36.530029296875,-37.83002948760986,-36.530029296875,-37.83002948760986,-36.530029296875,-37.83002948760986
2020-03-30,-3.85009765625,-4.95009708404541,-3.85009765625,-4.95009708404541,-3.85009765625,-4.95009708404541
2020-03-31,-15.609911918640137,-16.50991153717041,-15.609911918640137,-16.50991153717041,-15.609911918640137,-16.50991153717041
2020-04-01,-5.300000190734863,-6.300000190734863,-5.300000190734863,-6.300000190734863,-5.300000190734863,-6.300000190734863
2020-04-03,-13.050097465515137,-14.050097465515137,-13.050097465515137,-14.050097465515137,-13.050097465515137,-14.050097465515137
2020-04-06,12.029931545257568,11.279932022094727,12.029931545257568,11.279932022094727,12.029931545257568,11.279932022094727
2020-04-08,-14.799999713897705,-15.600000381469727,-14.799999713897705,-15.600000381469727,-14.799999713897705,-15.600000381469727
2020-04-09,-19.5,-20.300000190734863,-19.5,-20.300000190734863,-19.5,-20.300000190734863
2020-04-13,-9.770116806030273,-10.970117092132568,-9.770116806030273,-10.970117092132568,-9.770116806030273,-10.970117092132568
2020-04-15,-9.560107707977295,-9.960107326507568,-9.560107707977295,-9.960107326507568,-9.560107707977295,-9.960107326507568
2020-04-17,9.110058784484863,8.660058498382568,9.110058784484863,8.660058498382568,9.110058784484863,8.660058498382568
2020-04-20,-5.259912014007568,-5.959912300109863,-5.259912014007568,-5.959912300109863,-5.259912014007568,-5.959912300109863
