fill,n,mean,t,Sharpe,pct_buy,days_differ_from_T0,dSharpe_vs_T0,pctile_lo,pctile_hi,basic_lo,basic_hi,hac_t_diff,placebo_pctile
mid,553.0,0.12161313045110687,2.701557657715864,1.8236939006101007,64.91862567811935,183.0,0.3763121526092873,-1.0551546546635147,1.7423721011426576,-0.989747795924083,1.8077789598820893,0.5010952440195086,99.95
crossed,553.0,0.09789173620975956,2.2002982012925605,1.485317330822132,64.91862567811935,183.0,0.3962222818622803,-1.0462126109236187,1.7728287733201356,-0.9803842095955749,1.8386571746481795,0.5067656334606638,99.95
